team,player,category,REC,YDS,AVG,TD,LONG,TGTS
CLE,Amari Cooper,receiving,72,1250,16.33,5,75,128
CLE,Cedric Tillman,receiving,21,224,7.92,0,23,44
CLE,David Bell,receiving,14,167,9.83,3,41,23
CLE,David Njoku,receiving,81,882,10.78,6,43,123
CLE,Donovan Peoples-Jones,receiving,8,97,8.88,0,29,18
CLE,Elijah Moore,receiving,59,640,11.36,2,42,104
CLE,Harrison Bryant,receiving,13,81,2.69,3,23,20
CLE,James Proche II,receiving,0,0,0.0,0,0,5
CLE,Jerome Ford,receiving,44,319,7.48,5,50,63
CLE,Jordan Akins,receiving,15,132,8.23,0,28,23
CLE,Kareem Hunt,receiving,15,84,4.48,0,13,21
CLE,Marquise Goodwin,receiving,4,67,8.38,0,57,13
CLE,Nick Chubb,receiving,4,21,5.3,0,10,4
CLE,Pierre Strong Jr.,receiving,5,47,6.07,0,41,8
