team,player,category,FUM,LOST
DET,Aidan Hutchinson,fumbles,0,0
DET,Alex Anzalone,fumbles,0,0
DET,Amon-Ra St. Brown,fumbles,1,1
DET,Craig Reynolds,fumbles,2,2
DET,David Montgomery,fumbles,2,1
DET,Frank Ragnow,fumbles,1,0
DET,Isaiah Buggs,fumbles,0,0
DET,Jahmyr Gibbs,fumbles,2,1
DET,Jameson Williams,fumbles,1,0
DET,Jared Goff,fumbles,6,4
DET,Josh Paschal,fumbles,0,0
DET,Josh Reynolds,fumbles,1,1
DET,Kalif Raymond,fumbles,1,0
DET,Marvin Jones Jr.,fumbles,1,1
DET,Penei Sewell,fumbles,0,0
DET,Will Harris,fumbles,0,0
