team,player,category,CAR,YDS,AVG,TD,LONG
DET,Amon-Ra St. Brown,rushing,4,24,6.5,0,11
DET,Bam Knight,rushing,3,13,4.3,0,8
DET,Craig Reynolds,rushing,41,179,4.27,1,19
DET,David Montgomery,rushing,219,1015,4.76,13,75
DET,Devine Ozigbo,rushing,3,5,1.7,0,4
DET,Jahmyr Gibbs,rushing,182,945,5.21,10,36
DET,Jalen Reeves-Maybin,rushing,2,3,1.5,0,3
DET,Jameson Williams,rushing,3,29,9.67,1,19
DET,Jared Goff,rushing,32,21,0.72,2,11
DET,Jason Cabinda,rushing,1,0,0.0,0,0
DET,Kalif Raymond,rushing,7,75,10.71,0,40
DET,Sam LaPorta,rushing,1,4,4.0,0,4
DET,Teddy Bridgewater,rushing,2,-2,-1.0,0,-1
