team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
GB,Anders Carlson,defensive,1,1,0.0,0,0,0,0
GB,Anthony Johnson Jr.,defensive,24,18,0.0,0,3,0,0
GB,Benny Sapp III,defensive,2,1,0.0,0,0,0,0
GB,Bo Melton,defensive,1,1,0.0,0,0,0,0
GB,Carrington Valentine,defensive,44,33,0.0,0,9,0,0
GB,Christian Watson,defensive,1,1,0.0,0,0,0,0
GB,Colby Wooden,defensive,17,10,0.5,1,0,2,0
GB,Corey Ballentine,defensive,43,28,0.0,0,7,0,0
GB,Dallin Leavitt,defensive,2,1,0.0,0,0,0,0
GB,Darnell Savage,defensive,51,36,0.0,1,1,0,0
GB,De'Vondre Campbell,defensive,75,46,0.0,3,1,2,0
GB,Devonte Wyatt,defensive,36,18,5.5,6,0,11,0
GB,Dontayvion Wicks,defensive,1,0,0.0,0,0,0,0
GB,Elgton Jenkins,defensive,1,1,0.0,0,0,0,0
GB,Eric Stokes,defensive,6,5,0.0,1,0,0,0
GB,Eric Wilson,defensive,31,16,0.0,0,0,1,0
GB,Innis Gaines,defensive,4,3,0.0,0,0,0,0
GB,Isaiah McDuffie,defensive,86,56,0.5,5,1,3,0
GB,Jaire Alexander,defensive,27,23,0.0,1,5,0,0
GB,Jayden Reed,defensive,1,1,0.0,0,0,0,0
GB,Jon Runyan,defensive,1,1,0.0,0,0,0,0
GB,Jonathan Owens,defensive,84,58,1.0,2,3,1,1
GB,Josiah Deguara,defensive,4,3,0.0,0,0,0,0
GB,Justin Hollins,defensive,9,5,0.0,0,0,0,0
GB,Karl Brooks,defensive,20,12,4.0,6,4,5,0
GB,Keisean Nixon,defensive,80,59,0.5,3,6,1,0
GB,Kenny Clark,defensive,44,22,7.5,9,3,16,0
GB,Kingsley Enagbare,defensive,37,27,2.0,8,1,6,0
GB,Kristian Welch,defensive,6,4,0.0,0,0,0,0
GB,Lukas Van Ness,defensive,32,24,4.0,8,1,10,0
GB,Malik Heath,defensive,2,2,0.0,0,0,0,0
GB,Patrick Taylor Jr.,defensive,4,3,0.0,0,0,0,0
GB,Preston Smith,defensive,48,28,8.0,4,4,21,0
GB,Quay Walker,defensive,118,59,2.5,7,3,5,1
GB,Rashan Gary,defensive,44,23,9.0,7,2,22,0
GB,Rasheed Walker,defensive,1,1,0.0,0,0,0,0
GB,Rasul Douglas,defensive,32,26,0.0,2,6,0,0
GB,Robert Rochell,defensive,4,4,0.0,0,0,0,0
GB,Romeo Doubs,defensive,2,2,0.0,0,0,0,0
GB,Rudy Ford,defensive,71,47,0.0,0,6,0,0
GB,Samori Toure,defensive,1,1,0.0,0,0,0,0
GB,T.J. Slaton Jr.,defensive,50,23,0.0,2,2,2,0
GB,Tucker Kraft,defensive,5,3,0.0,0,0,0,0
GB,Zach Tom,defensive,1,1,0.0,0,0,0,0
GB,Zayne Anderson,defensive,4,3,0.0,0,0,0,0
