team,player,category,CAR,YDS,AVG,TD,LONG
GB,AJ Dillon,rushing,178,613,3.38,2,40
GB,Aaron Jones Sr.,rushing,142,656,4.34,2,39
GB,Bo Melton,rushing,3,21,7.0,0,12
GB,Christian Watson,rushing,4,11,1.17,0,13
GB,Dontayvion Wicks,rushing,1,1,1.0,0,1
GB,Emanuel Wilson,rushing,14,85,5.8,0,31
GB,James Robinson,rushing,1,2,2.0,0,2
GB,Jayden Reed,rushing,11,119,10.36,2,32
GB,Jordan Love,rushing,50,247,5.08,4,37
GB,Keisean Nixon,rushing,1,11,11.0,0,11
GB,Kenyan Drake,rushing,1,0,0.0,0,0
GB,Patrick Taylor Jr.,rushing,32,141,4.52,0,24
GB,Sean Clifford,rushing,3,-2,-0.5,0,0
