team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
IND,Adetomiwa Adebawore,defensive,5,4,1.5,1,0,4,0
IND,Alec Pierce,defensive,2,2,0.0,0,0,0,0
IND,Ameer Speed,defensive,6,5,0.0,1,0,0,0
IND,Cameron McGrone,defensive,4,2,0.0,0,0,0,0
IND,Chris Lammons,defensive,6,4,0.0,0,1,0,0
IND,Dallis Flowers,defensive,15,11,0.0,1,3,0,0
IND,Darrell Baker Jr.,defensive,35,28,0.0,0,7,0,0
IND,Dayo Odeyingbo,defensive,38,22,8.0,9,2,17,0
IND,DeForest Buckner,defensive,81,45,8.0,11,7,21,1
IND,Drew Ogletree,defensive,6,3,0.0,0,0,0,0
IND,E.J. Speed,defensive,102,78,1.0,12,4,2,0
IND,Eric Johnson II,defensive,15,6,1.0,1,0,3,0
IND,Grant Stuard,defensive,7,6,0.0,0,0,1,1
IND,Grover Stewart,defensive,41,23,0.5,5,0,8,0
IND,Isaiah Land,defensive,6,2,1.0,0,0,1,0
IND,Jacob Martin,defensive,7,5,2.0,1,0,3,0
IND,Jaylon Jones,defensive,44,33,0.0,1,5,0,0
IND,Josh Downs,defensive,2,2,0.0,0,0,0,0
IND,JuJu Brents,defensive,43,30,0.0,0,6,0,0
IND,Julian Blackmon,defensive,88,65,0.0,5,8,1,0
IND,Kenny Moore II,defensive,93,68,1.5,8,6,2,2
IND,Kwity Paye,defensive,52,31,8.5,8,0,9,0
IND,Kylen Granson,defensive,6,5,0.0,0,0,0,0
IND,Luke Rhodes,defensive,3,1,0.0,0,0,0,0
IND,Matt Gay,defensive,1,1,0.0,0,0,0,0
IND,McTelvin Agim,defensive,2,0,0.0,0,0,1,0
IND,Michael Pittman Jr.,defensive,1,1,0.0,0,0,0,0
IND,Mo Alie-Cox,defensive,2,0,0.0,0,0,0,0
IND,Nick Cross,defensive,39,24,0.0,1,2,0,0
IND,Quenton Nelson,defensive,1,1,0.0,0,0,0,0
IND,Rodney Thomas II,defensive,34,30,0.0,0,4,0,0
IND,Ronnie Harrison Jr.,defensive,20,11,1.0,1,2,1,1
IND,Ryan Kelly,defensive,1,1,0.0,0,0,0,0
IND,Samson Ebukam,defensive,57,39,9.5,10,1,17,0
IND,Segun Olubi,defensive,26,20,0.0,0,1,0,0
IND,Shaquille Leonard,defensive,65,34,0.0,2,0,0,0
IND,Taven Bryan,defensive,22,12,2.0,4,0,1,0
IND,Tony Brown II,defensive,10,8,0.0,0,1,0,0
IND,Trevor Denbow,defensive,12,9,0.0,0,0,0,0
IND,Tyquan Lewis,defensive,25,18,4.0,9,3,13,0
IND,Zaire Franklin,defensive,179,107,1.5,3,6,3,0
