team,player,category,REC,YDS,AVG,TD,LONG,TGTS
IND,Alec Pierce,receiving,32,514,16.12,2,58,65
IND,Amari Rodgers,receiving,0,0,0.0,0,0,2
IND,D.J. Montgomery,receiving,3,56,16.0,1,34,8
IND,Deon Jackson,receiving,5,14,2.8,0,8,6
IND,Drew Ogletree,receiving,9,147,10.7,2,33,21
IND,Evan Hull,receiving,1,6,6.0,0,6,1
IND,Isaiah McKenzie,receiving,11,82,6.88,0,30,14
IND,Jake Funk,receiving,1,12,12.0,0,12,1
IND,Jonathan Taylor,receiving,19,153,7.18,1,40,23
IND,Josh Downs,receiving,68,771,12.26,2,59,98
IND,Juwann Winfree,receiving,0,0,0.0,0,0,1
IND,Kylen Granson,receiving,30,368,10.22,1,46,50
IND,Michael Pittman Jr.,receiving,109,1152,12.49,4,75,156
IND,Mo Alie-Cox,receiving,13,161,10.19,3,35,22
IND,Trey Sermon,receiving,3,13,2.12,0,7,6
IND,Tyler Goodson,receiving,6,34,4.7,0,15,9
IND,Will Mallory,receiving,18,207,8.55,0,43,26
IND,Zack Moss,receiving,27,192,6.8,2,26,37
