team,player,category,REC,YDS,AVG,TD,LONG,TGTS
JAX,Brenton Strange,receiving,5,35,3.6,1,17,9
JAX,Calvin Ridley,receiving,76,1016,12.78,8,59,136
JAX,Christian Kirk,receiving,57,787,15.03,3,57,85
JAX,D'Ernest Johnson,receiving,10,140,16.43,0,42,12
JAX,Elijah Cooks,receiving,3,38,6.35,0,23,4
JAX,Evan Engram,receiving,114,963,8.25,4,34,143
JAX,JaMycal Hasty,receiving,0,0,0.0,0,0,2
JAX,Jamal Agnew,receiving,14,225,16.63,1,65,21
JAX,Luke Farrell,receiving,13,155,11.42,0,42,15
JAX,Parker Washington,receiving,16,132,8.2,2,19,21
JAX,Tank Bigsby,receiving,1,6,1.5,0,6,4
JAX,Tim Jones,receiving,11,83,4.36,0,15,18
JAX,Travis Etienne Jr.,receiving,58,476,8.04,1,56,73
JAX,Zay Jones,receiving,34,321,8.3,2,36,64
