team,player,category,FUM,LOST
LAC,Alex Erickson,fumbles,0,0
LAC,Alohi Gilman,fumbles,0,0
LAC,Amen Ogbongbemiga,fumbles,0,0
LAC,Austin Ekeler,fumbles,5,4
LAC,Austin Johnson,fumbles,0,0
LAC,Chris Rumph II,fumbles,0,0
LAC,Derius Davis,fumbles,3,1
LAC,Derwin James Jr.,fumbles,0,0
LAC,Easton Stick,fumbles,5,4
LAC,Gerald Everett,fumbles,3,0
LAC,Jalen Guyton,fumbles,0,0
LAC,Joey Bosa,fumbles,0,0
LAC,Joshua Kelley,fumbles,1,1
LAC,Joshua Palmer,fumbles,1,1
LAC,Justin Herbert,fumbles,4,1
LAC,Keenan Allen,fumbles,2,1
LAC,Nick Niemann,fumbles,1,0
LAC,Nick Williams,fumbles,0,0
LAC,Tuli Tuipulotu,fumbles,0,0
