team,player,category,CAR,YDS,AVG,TD,LONG
LAC,Austin Ekeler,rushing,179,628,3.42,5,55
LAC,Derius Davis,rushing,14,101,6.7,0,51
LAC,Easton Stick,rushing,27,144,5.3,1,21
LAC,Elijah Dotson,rushing,4,6,1.5,0,2
LAC,Gerald Everett,rushing,3,10,3.33,0,6
LAC,Isaiah Spiller,rushing,37,96,1.97,0,8
LAC,Joshua Kelley,rushing,107,405,3.09,2,49
LAC,Joshua Palmer,rushing,1,6,6.0,0,6
LAC,Justin Herbert,rushing,52,228,3.92,3,35
LAC,Keenan Allen,rushing,2,6,3.0,0,4
LAC,Mike Williams,rushing,1,3,3.0,0,3
LAC,Nick Niemann,rushing,1,0,0.0,0,0
LAC,Quentin Johnston,rushing,3,9,3.0,0,6
