team,player,category,CAR,YDS,AVG,TD,LONG
LAR,Ben Skowronek,rushing,2,9,4.5,0,11
LAR,Brett Rypien,rushing,3,19,6.3,0,8
LAR,Cam Akers,rushing,22,29,1.3,1,12
LAR,Carson Wentz,rushing,17,56,3.3,1,12
LAR,Cooper Kupp,rushing,1,-3,-3.0,0,-3
LAR,Darrell Henderson Jr.,rushing,46,112,2.02,2,16
LAR,Demarcus Robinson,rushing,1,23,23.0,0,23
LAR,Kyren Williams,rushing,228,1144,4.96,12,56
LAR,Matthew Stafford,rushing,21,65,2.68,0,9
LAR,Puka Nacua,rushing,12,89,7.29,0,31
LAR,Ronnie Rivers,rushing,32,129,3.3,0,10
LAR,Royce Freeman,rushing,77,319,3.28,2,23
LAR,Tutu Atwell,rushing,5,31,6.75,0,22
LAR,Van Jefferson,rushing,1,4,4.0,0,4
LAR,Zach Evans,rushing,9,19,1.88,0,5
