team,player,category,FUM,LOST
LV,Aidan O'Connell,fumbles,4,2
LV,Bilal Nichols,fumbles,0,0
LV,DJ Turner,fumbles,0,0
LV,DeAndre Carter,fumbles,2,0
LV,Divine Deablo,fumbles,0,0
LV,Dylan Parham,fumbles,1,0
LV,Greg Van Roten,fumbles,1,1
LV,Hunter Renfrow,fumbles,1,1
LV,Jakobi Meyers,fumbles,0,0
LV,Jerry Tillery,fumbles,0,0
LV,Jimmy Garoppolo,fumbles,1,0
LV,John Jenkins,fumbles,0,0
LV,Josh Jacobs,fumbles,3,1
LV,Marcus Epps,fumbles,0,0
LV,Maxx Crosby,fumbles,0,0
LV,Robert Spillane,fumbles,0,0
LV,Tyree Wilson,fumbles,0,0
LV,Zamir White,fumbles,1,1
