team,player,category,REC,YDS,AVG,TD,LONG,TGTS
MIN,Alexander Mattison,receiving,30,192,5.56,3,47,44
MIN,Brandon Powell,receiving,29,324,8.48,1,28,44
MIN,C.J. Ham,receiving,7,25,4.0,0,7,9
MIN,Cam Akers,receiving,11,70,6.55,0,30,12
MIN,Jalen Nailor,receiving,3,29,11.25,0,16,6
MIN,Johnny Mundt,receiving,17,172,10.27,1,32,23
MIN,Jordan Addison,receiving,70,911,11.99,10,62,108
MIN,Josh Oliver,receiving,22,213,10.17,2,33,28
MIN,Justin Jefferson,receiving,68,1074,15.28,5,52,100
MIN,K.J. Osborn,receiving,48,540,11.62,3,47,75
MIN,Nick Muse,receiving,1,22,22.0,0,22,1
MIN,T.J. Hockenson,receiving,95,960,10.54,5,29,127
MIN,Trishton Jackson,receiving,2,9,4.5,0,7,4
MIN,Ty Chandler,receiving,21,159,7.94,0,19,25
