team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
NO,A.T. Perry,defensive,1,1,0.0,0,0,0,0
NO,Adam Prentice,defensive,5,1,0.0,0,0,0,0
NO,Alontae Taylor,defensive,75,56,1.0,6,14,1,0
NO,Alvin Kamara,defensive,1,0,0.0,0,0,0,0
NO,Bryan Bresee,defensive,24,12,4.5,7,6,9,0
NO,Cameron Jordan,defensive,43,20,2.0,3,3,6,0
NO,Carl Granderson,defensive,78,44,8.5,14,1,20,0
NO,Chris Olave,defensive,1,1,0.0,0,0,0,0
NO,D'Marco Jackson,defensive,12,3,0.0,0,0,0,1
NO,Demario Davis,defensive,121,74,6.5,12,4,11,0
NO,Derek Carr,defensive,1,0,0.0,0,0,0,0
NO,Erik McCoy,defensive,1,1,0.0,0,0,0,0
NO,Isaac Yiadom,defensive,37,25,0.0,0,14,0,0
NO,Isaiah Foskey,defensive,10,5,0.5,0,1,1,0
NO,J.T. Gray,defensive,12,7,0.0,0,0,0,0
NO,Jack Heflin,defensive,1,0,0.0,0,0,0,0
NO,James Hurst,defensive,1,1,0.0,0,0,0,0
NO,Jason Pierre-Paul,defensive,2,1,0.0,0,0,0,0
NO,Johnathan Abram,defensive,26,14,0.0,1,1,0,0
NO,Jordan Howden,defensive,43,23,1.0,0,5,1,0
NO,Jordan Mims,defensive,1,0,0.0,0,0,0,0
NO,Juwan Johnson,defensive,1,1,0.0,0,0,0,0
NO,Keith Kirkwood,defensive,1,0,0.0,0,0,0,0
NO,Khalen Saunders,defensive,57,24,0.0,1,1,2,0
NO,Kyle Phillips,defensive,3,1,0.0,0,0,0,0
NO,Lonnie Johnson Jr.,defensive,9,8,0.0,0,2,0,0
NO,Malcolm Roach,defensive,38,13,0.0,3,3,1,0
NO,Marcus Maye,defensive,37,27,1.0,3,2,0,0
NO,Marshon Lattimore,defensive,48,39,0.0,2,8,0,0
NO,Michael Thomas,defensive,1,1,0.0,0,0,0,0
NO,Nathan Shepherd,defensive,50,26,3.0,4,0,8,0
NO,Nephi Sewell,defensive,15,11,0.0,2,0,0,0
NO,PJ Mustipher,defensive,4,1,0.0,0,0,0,0
NO,Paulson Adebo,defensive,76,60,0.0,0,18,0,0
NO,Payton Turner,defensive,1,0,0.0,0,0,2,0
NO,Pete Werner,defensive,93,60,0.5,4,1,1,0
NO,Rashid Shaheed,defensive,0,0,0.0,0,0,0,1
NO,Tanoh Kpassagnon,defensive,19,12,3.5,4,2,9,0
NO,Taysom Hill,defensive,2,2,0.0,0,0,0,0
NO,Tony Jones Jr.,defensive,1,1,0.0,0,0,0,0
NO,Ty Summers,defensive,2,1,0.0,0,0,0,0
NO,Tyrann Mathieu,defensive,75,50,0.0,0,9,1,1
NO,Ugo Amadi,defensive,12,6,0.0,0,2,0,0
NO,Zach Wood,defensive,2,0,0.0,0,0,0,0
NO,Zack Baun,defensive,30,20,2.0,4,2,4,0
