team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
NYJ, Team,defensive,2,2,2.0,0,0,0,0
NYJ,Adrian Amos,defensive,23,19,0.0,0,1,0,0
NYJ,Al Woods,defensive,6,4,1.0,2,0,2,0
NYJ,Allen Lazard,defensive,1,1,0.0,0,0,0,0
NYJ,Ashtyn Davis,defensive,37,23,0.0,3,8,0,0
NYJ,Brandin Echols,defensive,10,6,0.0,0,2,0,1
NYJ,Breece Hall,defensive,2,2,0.0,0,0,0,0
NYJ,Bruce Hector,defensive,4,2,0.0,1,0,0,0
NYJ,Bryce Hall,defensive,7,5,0.0,0,2,0,1
NYJ,Bryce Huff,defensive,29,19,10.0,10,1,21,0
NYJ,C.J. Mosley,defensive,151,80,0.5,5,7,2,0
NYJ,C.J. Uzomah,defensive,2,2,0.0,0,0,0,0
NYJ,Carl Lawson,defensive,5,2,0.0,0,0,0,0
NYJ,Carter Warren,defensive,2,2,0.0,0,0,0,0
NYJ,Chazz Surratt,defensive,8,6,0.0,0,0,0,0
NYJ,Connor McGovern,defensive,1,0,0.0,0,0,0,0
NYJ,Craig James,defensive,1,1,0.0,0,1,0,0
NYJ,D.J. Reed,defensive,76,62,0.0,2,9,0,0
NYJ,Duane Brown,defensive,1,1,0.0,0,0,0,0
NYJ,Garrett Wilson,defensive,4,4,0.0,0,0,0,0
NYJ,Irv Charles,defensive,7,6,0.0,0,0,0,0
NYJ,Jalyn Holmes,defensive,5,3,1.0,1,0,1,0
NYJ,Jamien Sherwood,defensive,46,28,0.0,3,1,0,0
NYJ,Jarrick Bernard-Converse,defensive,2,1,0.0,0,0,0,0
NYJ,Jason Brownlee,defensive,1,1,0.0,0,0,0,0
NYJ,Jeremy Ruckert,defensive,2,1,0.0,0,0,0,0
NYJ,Jermaine Johnson II,defensive,55,36,7.5,11,7,16,1
NYJ,John Franklin-Myers,defensive,33,15,3.5,6,3,14,0
NYJ,Jordan Whitehead,defensive,97,65,0.5,3,9,1,0
NYJ,Justin Hardee Sr.,defensive,5,3,0.0,0,0,0,0
NYJ,Kenny Yeboah,defensive,2,1,0.0,0,0,0,0
NYJ,Laken Tomlinson,defensive,2,2,0.0,0,0,0,0
NYJ,Michael Carter,defensive,1,1,0.0,0,0,0,0
NYJ,Michael Carter II,defensive,50,37,0.0,1,9,1,0
NYJ,Micheal Clemons,defensive,27,14,0.5,2,0,1,0
NYJ,Perrion Winfrey,defensive,3,1,0.0,0,0,0,0
NYJ,Quincy Williams,defensive,139,95,2.0,15,10,4,0
NYJ,Quinnen Williams,defensive,62,39,5.5,11,3,20,0
NYJ,Quinton Jefferson,defensive,34,13,6.0,4,0,13,0
NYJ,Sam Eguavoen,defensive,4,3,0.0,0,0,0,0
NYJ,Sauce Gardner,defensive,57,41,0.0,2,12,0,0
NYJ,Solomon Thomas,defensive,31,15,5.0,7,1,6,0
NYJ,Tae Hayes,defensive,2,2,0.0,0,0,0,0
NYJ,Tanzel Smart,defensive,2,1,0.0,0,0,0,0
NYJ,Thomas Hennessy,defensive,5,3,0.0,0,0,0,0
NYJ,Tony Adams,defensive,83,55,0.0,6,5,0,0
NYJ,Wes Schweitzer,defensive,1,0,0.0,0,0,0,0
NYJ,Will McDonald IV,defensive,14,9,3.0,4,0,5,0
NYJ,Xavier Gipson,defensive,2,2,0.0,0,0,0,1
NYJ,Zach Wilson,defensive,1,1,0.0,0,0,0,0
