team,player,category,REC,YDS,AVG,TD,LONG,TGTS
NYJ,Allen Lazard,receiving,23,311,10.37,1,39,49
NYJ,Brandin Echols,receiving,1,18,18.0,0,18,1
NYJ,Breece Hall,receiving,76,591,7.91,4,50,95
NYJ,C.J. Uzomah,receiving,8,58,6.64,1,19,12
NYJ,Dalvin Cook,receiving,15,78,3.66,0,15,20
NYJ,Garrett Wilson,receiving,95,1042,12.62,3,68,168
NYJ,Irv Charles,receiving,0,0,0.0,0,0,1
NYJ,Israel Abanikanda,receiving,7,43,5.77,0,13,11
NYJ,Jason Brownlee,receiving,5,56,8.0,1,24,8
NYJ,Jeremy Ruckert,receiving,16,151,7.96,0,23,22
NYJ,Kenny Yeboah,receiving,2,28,7.0,0,20,4
NYJ,Malik Taylor,receiving,2,13,6.5,0,7,4
NYJ,Mecole Hardman Jr.,receiving,1,6,3.0,0,6,3
NYJ,Michael Carter,receiving,15,68,2.97,0,10,20
NYJ,Nick Bawden,receiving,3,21,7.0,0,8,3
NYJ,Randall Cobb,receiving,5,39,3.89,1,15,17
NYJ,Tyler Conklin,receiving,61,621,9.11,0,37,87
NYJ,Xavier Gipson,receiving,21,229,8.72,0,36,38
