team,player,category,CAR,YDS,AVG,TD,LONG
NYJ,Ashtyn Davis,rushing,2,3,1.5,0,4
NYJ,Breece Hall,rushing,223,994,4.29,5,83
NYJ,Dalvin Cook,rushing,67,214,3.46,0,14
NYJ,Garrett Wilson,rushing,4,0,0.0,0,6
NYJ,Israel Abanikanda,rushing,22,70,3.5,0,12
NYJ,Michael Carter,rushing,8,38,5.5,0,9
NYJ,Nick Bawden,rushing,2,4,2.0,1,3
NYJ,Tim Boyle,rushing,4,5,1.33,0,2
NYJ,Trevor Siemian,rushing,11,40,4.08,0,13
NYJ,Tyler Conklin,rushing,1,0,0.0,0,0
NYJ,Xavier Gipson,rushing,8,68,8.79,1,18
NYJ,Zach Wilson,rushing,36,211,5.48,0,20
