team,player,category,REC,YDS,AVG,TD,LONG,TGTS
PHI,A.J. Brown,receiving,106,1456,12.87,7,59,158
PHI,Albert Okwuegbunam Jr.,receiving,0,0,0.0,0,0,1
PHI,Boston Scott,receiving,4,52,8.67,0,27,6
PHI,Britain Covey,receiving,4,42,9.35,0,22,6
PHI,D'Andre Swift,receiving,39,214,5.26,1,20,49
PHI,Dallas Goedert,receiving,59,592,9.07,3,49,83
PHI,DeVonta Smith,receiving,81,1066,13.28,7,63,112
PHI,Grant Calcaterra,receiving,4,39,9.75,0,12,4
PHI,Jack Stoll,receiving,5,38,7.6,0,14,8
PHI,Julio Jones,receiving,11,74,6.0,3,22,19
PHI,Kenny Gainwell,receiving,30,183,4.67,0,19,37
PHI,Olamide Zaccheaus,receiving,10,164,11.36,2,34,20
PHI,Quez Watkins,receiving,15,142,6.28,1,19,21
PHI,Rashaad Penny,receiving,1,5,5.0,0,5,1
