team,player,category,REC,YDS,AVG,TD,LONG,TGTS
PIT,Allen Robinson,receiving,34,280,7.73,0,31,49
PIT,Anthony McFarland Jr.,receiving,2,11,5.5,0,6,2
PIT,Calvin Austin III,receiving,17,180,7.97,1,72,30
PIT,Connor Heyward,receiving,23,167,6.11,0,13,34
PIT,Darnell Washington,receiving,7,61,7.62,0,12,10
PIT,Diontae Johnson,receiving,51,717,14.18,5,71,87
PIT,George Pickens,receiving,63,1140,17.69,5,86,106
PIT,Gunner Olszewski,receiving,1,0,0.0,0,0,1
PIT,Jaylen Warren,receiving,61,370,5.54,0,30,74
PIT,Miles Boykin,receiving,3,17,4.25,0,6,4
PIT,Najee Harris,receiving,29,170,5.85,0,32,38
PIT,Pat Freiermuth,receiving,32,308,7.95,2,29,47
PIT,Rodney Williams,receiving,0,0,0.0,0,0,2
