team,player,category,FUM,LOST
WSH,Abdullah Anderson,fumbles,0,0
WSH,Andrew Wylie,fumbles,0,0
WSH,Antonio Gibson,fumbles,3,2
WSH,Brian Robinson Jr.,fumbles,4,2
WSH,Byron Pringle,fumbles,1,1
WSH,Camaron Cheeseman,fumbles,1,0
WSH,Casey Toohill,fumbles,0,0
WSH,Chris Rodriguez Jr.,fumbles,1,1
WSH,Cody Barton,fumbles,0,0
WSH,Daron Payne,fumbles,0,0
WSH,Dyami Brown,fumbles,0,0
WSH,Emmanuel Forbes Jr.,fumbles,1,0
WSH,Jamison Crowder,fumbles,2,1
WSH,Kam Curl,fumbles,0,0
WSH,Kendall Fuller,fumbles,0,0
WSH,Logan Thomas,fumbles,2,2
WSH,Phidarian Mathis,fumbles,0,0
WSH,Sam Howell,fumbles,5,2
WSH,Terry McLaurin,fumbles,0,0
WSH,Tress Way,fumbles,0,0
