team,player,category,FUM,LOST,REC
ARI,Clayton Tune,fumbles,1,1,0
ARI,DeeJay Dallas,fumbles,1,0,0
ARI,Emari Demercado,fumbles,0,0,1
ARI,Greg Dortch,fumbles,3,1,0
ARI,Hjalte Froholdt,fumbles,1,0,1
ARI,Jalen Thompson,fumbles,0,0,2
ARI,James Conner,fumbles,4,1,1
ARI,Jonah Williams,fumbles,0,0,1
ARI,Justin Jones,fumbles,0,0,1
ARI,Kyler Murray,fumbles,8,4,3
ARI,Kyzir White,fumbles,0,0,1
ARI,L.J. Collier,fumbles,0,0,1
ARI,Mack Wilson Sr.,fumbles,0,0,1
ARI,Marvin Harrison Jr.,fumbles,1,1,0
ARI,Michael Wilson,fumbles,1,1,1
ARI,Roy Lopez,fumbles,0,0,1
ARI,Tip Reiman,fumbles,0,0,1
ARI,Trey Benson,fumbles,1,0,0
ARI,Trey McBride,fumbles,0,0,2
