team,player,category,FUM,LOST,REC
BUF,Alec Anderson,fumbles,0,0,1
BUF,Baylon Spector,fumbles,0,0,1
BUF,Brandon Codrington,fumbles,2,0,1
BUF,Casey Toohill,fumbles,0,0,1
BUF,Christian Benford,fumbles,0,0,1
BUF,Dalton Kincaid,fumbles,1,0,0
BUF,Damar Hamlin,fumbles,0,0,1
BUF,Dorian Williams,fumbles,0,0,3
BUF,Greg Rousseau,fumbles,0,0,1
BUF,Jalen Virgil,fumbles,0,0,1
BUF,James Cook III,fumbles,1,0,0
BUF,Javon Solomon,fumbles,0,0,1
BUF,Josh Allen,fumbles,5,2,1
BUF,Kaiir Elam,fumbles,0,0,1
BUF,Khalil Shakir,fumbles,1,0,1
BUF,Mack Hollins,fumbles,0,0,1
BUF,Matt Milano,fumbles,0,0,2
BUF,Mitchell Trubisky,fumbles,1,0,1
BUF,O'Cyrus Torrence,fumbles,0,0,2
BUF,Taron Johnson,fumbles,0,0,1
BUF,Terrel Bernard,fumbles,0,0,1
BUF,Ty Johnson,fumbles,0,0,1
