team,player,category,FUM,LOST,REC
CAR,Andy Dalton,fumbles,2,0,2
CAR,Bryce Young,fumbles,5,2,1
CAR,Chuba Hubbard,fumbles,4,3,0
CAR,DJ Johnson,fumbles,0,0,1
CAR,Feleipe Franks,fumbles,0,0,1
CAR,Ikem Ekwonu,fumbles,0,0,1
CAR,Ja'Tavion Sanders,fumbles,1,0,1
CAR,Jonathan Harris,fumbles,0,0,1
CAR,Jonathan Mingo,fumbles,1,1,0
CAR,Josey Jewell,fumbles,0,0,2
CAR,Miles Sanders,fumbles,1,0,0
CAR,Raheem Blackshear,fumbles,2,0,2
CAR,Shy Tuttle,fumbles,0,0,2
CAR,Tommy Tremble,fumbles,1,1,0
CAR,Trevin Wallace,fumbles,0,0,1
