team,player,category,CAR,YDS,AVG,TD,LONG
CAR,Andy Dalton,rushing,11,34,2.7,0,18
CAR,Bryce Young,rushing,43,249,6.09,6,34
CAR,Chuba Hubbard,rushing,250,1195,4.64,10,38
CAR,David Moore,rushing,1,0,0.0,0,0
CAR,Deven Thompkins,rushing,2,7,3.5,0,9
CAR,Diontae Johnson,rushing,2,6,3.0,0,4
CAR,Jonathan Mingo,rushing,2,5,2.5,0,3
CAR,Jonathon Brooks,rushing,9,22,1.17,0,9
CAR,Mike Boone,rushing,13,51,3.96,0,9
CAR,Miles Sanders,rushing,55,205,3.68,2,26
CAR,Raheem Blackshear,rushing,15,80,6.2,0,26
CAR,Velus Jones Jr.,rushing,1,0,0.0,0,0
CAR,Xavier Legette,rushing,6,24,3.8,0,8
