team,player,category,FUM,LOST
CHI,Caleb Williams,fumbles,10,5
CHI,Coleman Shelton,fumbles,1,0
CHI,D'Andre Swift,fumbles,2,0
CHI,DJ Moore,fumbles,1,1
CHI,DeAndre Carter,fumbles,1,1
CHI,Elijah Hicks,fumbles,0,0
CHI,Gervon Dexter Sr.,fumbles,0,0
CHI,Jonathan Owens,fumbles,0,0
CHI,Keenan Allen,fumbles,1,0
CHI,Kevin Byard,fumbles,0,0
CHI,Kyler Gordon,fumbles,0,0
CHI,Matt Pryor,fumbles,0,0
CHI,Rome Odunze,fumbles,2,1
CHI,T.J. Edwards,fumbles,0,0
CHI,Teven Jenkins,fumbles,0,0
CHI,Velus Jones Jr.,fumbles,1,1
