team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
CIN,Akeem Davis-Gaither,defensive,82,41,0.0,4,4,1,0
CIN,Alex Cappa,defensive,1,1,0.0,0,0,0,0
CIN,Amarius Mims,defensive,1,0,0.0,0,0,0,0
CIN,Andrei Iosivas,defensive,1,1,0.0,0,0,0,0
CIN,B.J. Hill,defensive,56,25,3.0,7,4,9,0
CIN,Cal Adomitis,defensive,3,3,0.0,0,0,0,0
CIN,Cam Taylor-Britt,defensive,77,58,0.5,1,16,1,1
CIN,Cedric Johnson,defensive,7,5,1.0,1,0,4,0
CIN,Charlie Jones,defensive,0,0,0.0,0,0,0,1
CIN,Cordell Volson,defensive,1,0,0.0,0,0,0,0
CIN,DJ Ivey,defensive,4,4,0.0,0,2,0,0
CIN,DJ Turner II,defensive,29,24,0.0,1,8,0,0
CIN,Daijahn Anthony,defensive,3,2,0.0,0,1,0,0
CIN,Dax Hill,defensive,25,20,1.0,1,2,1,0
CIN,Drew Sample,defensive,2,1,0.0,0,0,0,0
CIN,Geno Stone,defensive,81,47,0.0,0,6,4,1
CIN,Germaine Pratt,defensive,143,80,0.0,5,6,4,0
CIN,Ja'Marr Chase,defensive,6,6,0.0,0,0,0,0
CIN,Jalen Davis,defensive,3,2,0.0,0,0,0,0
CIN,Jay Tufele,defensive,15,5,0.5,1,1,2,0
CIN,Joe Bachie,defensive,3,3,0.0,0,0,0,0
CIN,Jordan Battle,defensive,58,35,0.0,1,3,1,0
CIN,Joseph Ossai,defensive,46,26,5.0,4,1,15,0
CIN,Josh Newton,defensive,31,27,0.0,1,7,0,0
CIN,Kris Jenkins Jr.,defensive,31,10,3.0,3,0,5,0
CIN,Lawrence Guy,defensive,2,0,0.0,0,0,0,0
CIN,Logan Wilson,defensive,104,55,0.0,2,1,4,0
CIN,Maema Njongmeta,defensive,13,7,0.0,0,0,0,0
CIN,Marco Wilson,defensive,2,2,0.0,0,1,0,0
CIN,McKinnley Jackson,defensive,15,6,1.0,2,0,1,0
CIN,Mike Hilton,defensive,73,50,0.0,12,5,1,0
CIN,Myles Murphy,defensive,20,11,0.0,1,1,4,0
CIN,Sam Hubbard,defensive,41,25,2.0,3,2,9,0
CIN,Shaka Heyward,defensive,6,5,0.0,1,0,0,0
CIN,Sheldon Rankins,defensive,18,10,1.0,1,0,1,0
CIN,Tanner Hudson,defensive,4,4,0.0,0,0,0,0
CIN,Tee Higgins,defensive,1,1,0.0,0,0,0,0
CIN,Trayveon Williams,defensive,2,1,0.0,0,0,0,0
CIN,Trey Hendrickson,defensive,46,33,17.5,19,6,36,0
CIN,Tycen Anderson,defensive,11,10,0.0,0,0,0,0
CIN,Vonn Bell,defensive,55,24,0.0,1,2,1,0
CIN,Zachary Carter,defensive,9,4,0.5,0,0,1,0
CIN,Zack Moss,defensive,1,0,0.0,0,0,0,0
