team,player,category,REC,YDS,AVG,TD,LONG,TGTS
CIN,Andrei Iosivas,receiving,36,479,12.87,6,39,61
CIN,Cam Grandy,receiving,5,28,5.5,0,9,5
CIN,Charlie Jones,receiving,1,5,5.0,0,5,1
CIN,Chase Brown,receiving,54,360,5.99,4,34,65
CIN,Drew Sample,receiving,20,109,5.35,1,12,22
CIN,Erick All Jr.,receiving,20,158,7.31,0,28,22
CIN,Ja'Marr Chase,receiving,127,1708,13.71,17,70,175
CIN,Jermaine Burton,receiving,4,107,26.75,0,47,14
CIN,Kendric Pryor,receiving,1,9,9.0,0,9,1
CIN,Khalil Herbert,receiving,8,21,4.5,0,7,9
CIN,Mike Gesicki,receiving,65,665,8.26,2,47,83
CIN,Sam Hubbard,receiving,1,2,2.0,1,2,1
CIN,Tanner Hudson,receiving,19,154,8.39,1,19,23
CIN,Tee Higgins,receiving,73,911,12.96,10,42,109
CIN,Trenton Irwin,receiving,3,15,3.75,0,6,10
CIN,Zack Moss,receiving,23,187,8.18,1,21,27
