team,player,category,FUM,LOST
CLE,Cedric Tillman,fumbles,1,1
CLE,D'Onta Foreman,fumbles,2,1
CLE,Denzel Ward,fumbles,0,0
CLE,Deshaun Watson,fumbles,5,3
CLE,Dorian Thompson-Robinson,fumbles,3,1
CLE,Grant Delpit,fumbles,0,0
CLE,Jameis Winston,fumbles,5,2
CLE,James Proche II,fumbles,1,1
CLE,Joel Bitonio,fumbles,0,0
CLE,Jordan Akins,fumbles,1,0
CLE,Jowon Briggs,fumbles,0,0
CLE,Kadarius Toney,fumbles,1,1
CLE,Martin Emerson Jr.,fumbles,0,0
CLE,Myles Garrett,fumbles,0,0
CLE,Nick Chubb,fumbles,1,1
CLE,Rodney McLeod Jr.,fumbles,0,0
CLE,Ronnie Hickman,fumbles,0,0
CLE,Winston Reid,fumbles,0,0
