team,player,category,CAR,YDS,AVG,TD,LONG
CLE,Bailey Zappe,rushing,2,2,1.0,0,3
CLE,Cedric Tillman,rushing,1,-5,-5.0,0,-5
CLE,D'Onta Foreman,rushing,71,232,2.87,0,25
CLE,Deshaun Watson,rushing,31,148,4.47,1,16
CLE,Dorian Thompson-Robinson,rushing,21,122,5.88,0,34
CLE,Elijah Moore,rushing,1,1,1.0,0,1
CLE,Jacob Kibodi,rushing,5,24,4.8,0,17
CLE,Jameis Winston,rushing,25,83,2.59,1,13
CLE,Jerome Ford,rushing,104,565,5.38,3,66
CLE,Kadarius Toney,rushing,2,-4,-2.0,0,3
CLE,Nick Chubb,rushing,102,332,3.34,3,19
CLE,Pierre Strong Jr.,rushing,26,108,2.83,0,19
