team,player,category,FUM,LOST,REC
DAL,Amani Oruwariye,fumbles,1,1,0
DAL,C.J. Goodwin,fumbles,0,0,1
DAL,CeeDee Lamb,fumbles,1,1,0
DAL,Chauncey Golston,fumbles,0,0,1
DAL,Cooper Beebe,fumbles,1,0,1
DAL,Cooper Rush,fumbles,9,3,5
DAL,DaRon Bland,fumbles,0,0,1
DAL,Dak Prescott,fumbles,4,1,2
DAL,DeMarvion Overshown,fumbles,0,0,1
DAL,Donovan Wilson,fumbles,0,0,1
DAL,Eric Kendricks,fumbles,0,0,1
DAL,Ezekiel Elliott,fumbles,1,1,1
DAL,Jake Ferguson,fumbles,4,2,1
DAL,Jalen Tolbert,fumbles,0,0,2
DAL,Jourdan Lewis,fumbles,0,0,1
DAL,KaVontae Turpin,fumbles,3,1,1
DAL,Marist Liufau,fumbles,0,0,1
DAL,Marshawn Kneeland,fumbles,0,0,1
DAL,Rico Dowdle,fumbles,3,2,0
DAL,Ryan Flournoy,fumbles,1,1,0
DAL,Tyler Guyton,fumbles,1,1,1
