team,player,category,FUM,LOST,REC
DEN,Adam Trautman,fumbles,0,0,1
DEN,Audric Estime,fumbles,2,1,0
DEN,Bo Nix,fumbles,3,0,2
DEN,Brandon Jones,fumbles,0,0,1
DEN,Cody Barton,fumbles,0,0,1
DEN,Courtland Sutton,fumbles,1,1,0
DEN,D.J. Jones,fumbles,0,0,1
DEN,JL Skinner,fumbles,0,0,1
DEN,Jaleel McLaughlin,fumbles,1,1,0
DEN,Javonte Williams,fumbles,2,2,0
DEN,Kwon Alexander,fumbles,0,0,1
DEN,Lil'Jordan Humphrey,fumbles,2,1,1
DEN,Luke Wattenberg,fumbles,1,0,1
DEN,Malcolm Roach,fumbles,0,0,1
DEN,Marvin Mims Jr.,fumbles,1,0,1
DEN,Nik Bonitto,fumbles,0,0,1
DEN,Pat Surtain II,fumbles,0,0,1
DEN,Riley Moss,fumbles,0,0,1
DEN,Tyler Badie,fumbles,1,1,0
