team,player,category,FUM,LOST,REC
DET,Amon-Ra St. Brown,fumbles,1,1,0
DET,Ben Niemann,fumbles,0,0,1
DET,Carlton Davis III,fumbles,0,0,2
DET,Craig Reynolds,fumbles,1,0,1
DET,David Long Jr.,fumbles,0,0,1
DET,David Montgomery,fumbles,2,1,2
DET,Frank Ragnow,fumbles,0,0,1
DET,Isaiah Thomas,fumbles,0,0,1
DET,Jahmyr Gibbs,fumbles,1,1,0
DET,Jared Goff,fumbles,6,0,2
DET,Josh Paschal,fumbles,0,0,1
DET,Kevin Zeitler,fumbles,0,0,2
DET,Malcolm Rodriguez,fumbles,0,0,1
DET,Maurice Alexander,fumbles,1,0,0
DET,Terrion Arnold,fumbles,0,0,1
