team,player,category,FUM,LOST,REC
GB,Bo Melton,fumbles,0,0,2
GB,Carrington Valentine,fumbles,1,0,0
GB,Christian Watson,fumbles,1,1,0
GB,Corey Ballentine,fumbles,1,1,0
GB,Daniel Whelan,fumbles,0,0,1
GB,Devonte Wyatt,fumbles,0,0,2
GB,Edgerrin Cooper,fumbles,0,0,2
GB,Emanuel Wilson,fumbles,0,0,1
GB,Jaire Alexander,fumbles,0,0,1
GB,Javon Bullard,fumbles,0,0,1
GB,Jayden Reed,fumbles,3,1,1
GB,Jordan Love,fumbles,4,0,2
GB,Josh Jacobs,fumbles,4,3,0
GB,Karl Brooks,fumbles,0,0,3
GB,Kenny Clark,fumbles,0,0,2
GB,Lukas Van Ness,fumbles,0,0,1
GB,Malik Willis,fumbles,1,1,0
GB,Matt Orzech,fumbles,1,0,0
GB,Rashan Gary,fumbles,0,0,1
GB,Robert Rochell,fumbles,0,0,1
GB,Tucker Kraft,fumbles,1,1,0
GB,Xavier McKinney,fumbles,1,0,1
