team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
HOU,Azeez Al-Shaair,defensive,70,45,2.0,7,4,7,0
HOU,British Brooks,defensive,1,1,0.0,0,0,0,0
HOU,Cade Stover,defensive,6,6,0.0,0,0,0,0
HOU,Calen Bullock,defensive,54,37,0.0,0,11,0,0
HOU,Cam Akers,defensive,1,0,0.0,0,0,0,0
HOU,Christian Harris,defensive,20,13,1.0,1,0,1,0
HOU,D'Angelo Ross,defensive,13,10,0.0,0,2,0,0
HOU,Dameon Pierce,defensive,1,1,0.0,0,0,0,0
HOU,Danielle Hunter,defensive,46,31,12.0,17,3,23,0
HOU,Dare Ogunbowale,defensive,6,3,0.0,0,0,0,0
HOU,Del'Shawn Phillips,defensive,16,8,0.0,1,0,0,0
HOU,Denico Autry,defensive,13,8,3.0,3,3,6,0
HOU,Derek Barnett,defensive,26,15,5.0,4,0,7,2
HOU,Derek Stingley Jr.,defensive,54,37,0.0,4,18,0,0
HOU,Devin White,defensive,19,15,0.0,0,0,0,0
HOU,Dylan Horton,defensive,16,6,0.0,1,1,2,0
HOU,Eric Murray,defensive,75,50,1.0,2,10,2,0
HOU,Folorunso Fatukasi,defensive,24,16,1.0,4,0,3,0
HOU,Henry To'oTo'o,defensive,105,54,1.5,7,3,1,0
HOU,Jake Hansen,defensive,28,17,1.0,1,0,1,0
HOU,Jalen Pitre,defensive,65,44,0.0,6,8,2,0
HOU,Jamal Hill,defensive,4,2,0.0,0,0,0,0
HOU,Jeff Okudah,defensive,9,8,0.0,0,1,0,0
HOU,Jerry Hughes,defensive,5,3,0.0,0,0,0,0
HOU,Jimmie Ward,defensive,48,32,0.0,5,4,0,1
HOU,Joe Mixon,defensive,1,1,0.0,0,0,0,0
HOU,John Metchie III,defensive,2,2,0.0,0,0,0,0
HOU,Juice Scruggs,defensive,1,1,0.0,0,0,0,0
HOU,Ka'dar Hollman,defensive,12,11,0.0,0,2,0,0
HOU,Ka'imi Fairbairn,defensive,2,2,0.0,0,0,0,0
HOU,Kamari Lassiter,defensive,58,42,0.0,4,10,0,0
HOU,Khalil Davis,defensive,9,6,1.0,4,0,2,0
HOU,Kris Boyd,defensive,8,5,0.0,0,0,0,0
HOU,Kurt Hinish,defensive,12,5,0.0,2,0,0,0
HOU,M.J. Stewart,defensive,12,8,0.0,2,0,0,0
HOU,Mario Edwards Jr.,defensive,31,12,3.0,3,2,8,0
HOU,Myles Bryant,defensive,14,11,0.0,0,0,0,0
HOU,Neville Hewitt,defensive,59,31,0.0,0,3,1,0
HOU,Nico Collins,defensive,2,1,0.0,0,0,0,0
HOU,Russ Yeast,defensive,1,1,0.0,0,0,0,0
HOU,Shaq Mason,defensive,1,1,0.0,0,0,0,0
HOU,Solomon Byrd,defensive,2,2,0.0,0,1,1,0
HOU,Stefon Diggs,defensive,1,1,0.0,0,0,0,0
HOU,Tank Dell,defensive,3,3,0.0,0,0,0,0
HOU,Tim Settle,defensive,31,24,5.0,10,0,10,0
HOU,Tommy Togiai,defensive,28,11,1.5,2,2,2,0
HOU,Troy Hairston,defensive,1,1,0.0,0,0,0,0
HOU,Will Anderson Jr.,defensive,37,27,11.0,16,2,19,0
HOU,Xavier Hutchinson,defensive,4,2,0.0,0,0,0,0
