team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
JAX,Andre Cisco,defensive,68,44,0.0,1,7,0,0
JAX,Andrew Wingard,defensive,15,8,0.0,0,3,0,0
JAX,Anthony Pittman,defensive,1,1,0.0,0,0,0,0
JAX,Antonio Johnson,defensive,73,55,0.0,1,2,0,0
JAX,Arik Armstead,defensive,29,21,2.0,3,3,7,0
JAX,Brenton Strange,defensive,1,0,0.0,0,0,0,0
JAX,Brian Thomas Jr.,defensive,1,1,0.0,0,0,0,0
JAX,Caleb Johnson,defensive,9,6,0.0,0,0,0,0
JAX,Chad Muma,defensive,32,12,0.0,0,0,0,0
JAX,Christian Braswell,defensive,5,1,0.0,0,0,0,0
JAX,Christian Kirk,defensive,2,2,0.0,0,0,0,0
JAX,D'Ernest Johnson,defensive,1,0,0.0,0,0,0,0
JAX,DJ Coleman,defensive,3,1,0.0,0,0,0,0
JAX,DaVon Hamilton,defensive,62,34,0.0,5,0,2,0
JAX,Daniel Thomas,defensive,10,5,0.0,0,0,0,0
JAX,Darnell Savage,defensive,51,40,0.0,2,6,0,0
JAX,De'Antre Prince,defensive,8,6,0.0,0,1,0,0
JAX,Devin Duvernay,defensive,1,1,0.0,0,0,0,0
JAX,Devin Lloyd,defensive,113,61,2.0,7,4,5,0
JAX,Esezi Otomewo,defensive,4,0,0.5,0,0,2,0
JAX,Evan Engram,defensive,1,1,0.0,0,0,0,0
JAX,Foyesade Oluokun,defensive,108,60,1.0,6,7,1,0
JAX,Gabe Davis,defensive,2,2,0.0,0,0,0,0
JAX,Jarrian Jones,defensive,40,30,2.0,1,8,2,0
JAX,Jeremiah Ledbetter,defensive,38,20,2.0,8,0,4,0
JAX,Joe Gaziano,defensive,3,2,0.0,0,0,0,0
JAX,Joe Giles-Harris,defensive,1,0,0.0,0,0,0,0
JAX,Jordan Jefferson,defensive,12,5,1.0,1,1,1,0
JAX,Josh Hines-Allen,defensive,45,26,8.0,10,2,19,0
JAX,Josh Reynolds,defensive,1,1,0.0,0,0,0,0
JAX,Josiah Deguara,defensive,5,3,0.0,0,0,0,0
JAX,Logan Cooke,defensive,1,1,0.0,0,0,0,0
JAX,Luke Farrell,defensive,4,4,0.0,0,0,0,0
JAX,Maason Smith,defensive,17,10,3.0,3,3,4,0
JAX,Montaric Brown,defensive,75,55,0.0,6,8,0,0
JAX,Myles Cole,defensive,8,4,0.0,1,0,0,0
JAX,Parker Washington,defensive,2,2,0.0,0,0,0,1
JAX,Ronald Darby,defensive,46,36,0.0,3,9,0,0
JAX,Ross Matiscik,defensive,2,1,0.0,0,0,0,0
JAX,Roy Robertson-Harris,defensive,7,5,2.0,3,0,4,0
JAX,Tank Bigsby,defensive,2,2,0.0,0,0,0,0
JAX,Tanner Muse,defensive,1,0,0.0,0,0,0,0
JAX,Tim Jones,defensive,3,1,0.0,0,0,0,0
JAX,Travis Etienne Jr.,defensive,1,1,0.0,0,0,0,0
JAX,Travon Walker,defensive,61,31,10.5,13,1,15,1
JAX,Tre Flowers,defensive,3,3,0.0,0,0,0,0
JAX,Trevor Lawrence,defensive,1,1,0.0,0,0,0,0
JAX,Tyler Lacy,defensive,25,10,0.0,2,0,1,0
JAX,Tyson Campbell,defensive,59,42,0.0,2,6,0,0
JAX,Ventrell Miller,defensive,80,53,0.0,4,3,0,0
JAX,Yasir Abdullah,defensive,18,14,0.0,0,0,1,0
