team,player,category,FUM,LOST,REC
JAX,Austin Trammell,fumbles,1,1,0
JAX,Brenton Strange,fumbles,1,1,0
JAX,D'Ernest Johnson,fumbles,0,0,1
JAX,Daniel Thomas,fumbles,0,0,1
JAX,Devin Duvernay,fumbles,1,0,1
JAX,Esezi Otomewo,fumbles,0,0,1
JAX,Evan Engram,fumbles,1,1,0
JAX,Gabe Davis,fumbles,1,1,0
JAX,Josh Hines-Allen,fumbles,0,0,1
JAX,Mac Jones,fumbles,2,2,1
JAX,Mitch Morse,fumbles,2,0,1
JAX,Parker Washington,fumbles,2,0,2
JAX,Tank Bigsby,fumbles,4,1,1
JAX,Travis Etienne Jr.,fumbles,1,1,1
JAX,Travon Walker,fumbles,0,0,1
JAX,Trevor Lawrence,fumbles,3,1,1
