team,player,category,REC,YDS,AVG,TD,LONG,TGTS
KC,Baylor Cupp,receiving,0,0,0.0,0,0,1
KC,Carson Steele,receiving,7,26,4.17,0,9,11
KC,DeAndre Hopkins,receiving,41,437,10.65,4,35,59
KC,Hollywood Brown,receiving,9,91,10.25,0,20,15
KC,Isiah Pacheco,receiving,12,79,7.12,0,23,16
KC,Jared Wiley,receiving,1,7,7.0,0,7,1
KC,Jody Fortson,receiving,1,5,1.67,0,5,3
KC,JuJu Smith-Schuster,receiving,18,231,7.87,2,50,26
KC,Justin Watson,receiving,22,289,11.19,2,49,32
KC,Justyn Ross,receiving,0,0,0.0,0,0,1
KC,Kareem Hunt,receiving,23,176,7.74,0,26,32
KC,Mecole Hardman Jr.,receiving,12,90,8.0,0,17,14
KC,Mike Caliendo,receiving,1,5,5.0,0,5,1
KC,Nikko Remigio,receiving,2,48,24.0,0,25,6
KC,Noah Gray,receiving,40,437,9.61,5,35,49
KC,Patrick Mahomes,receiving,1,2,2.0,0,2,1
KC,Peyton Hendershot,receiving,5,51,9.62,0,15,5
KC,Rashee Rice,receiving,24,288,12.97,2,44,29
KC,Samaje Perine,receiving,28,322,12.94,1,36,35
KC,Skyy Moore,receiving,0,0,0.0,0,0,3
KC,Travis Kelce,receiving,97,823,8.06,3,38,133
KC,Wanya Morris,receiving,1,1,1.0,1,1,1
KC,Xavier Worthy,receiving,59,638,10.78,6,54,98
