team,player,category,REC,YDS,AVG,TD,LONG,TGTS
LAR,Blake Corum,receiving,7,58,8.42,0,12,8
LAR,Cody Schrader,receiving,1,6,6.0,0,6,1
LAR,Colby Parkinson,receiving,30,294,9.37,1,23,49
LAR,Cooper Kupp,receiving,67,710,11.22,6,69,100
LAR,Davis Allen,receiving,6,39,1.97,0,13,13
LAR,Demarcus Robinson,receiving,31,505,13.29,7,46,64
LAR,Hunter Long,receiving,7,60,6.21,0,18,9
LAR,Jordan Whittington,receiving,22,293,13.0,0,50,28
LAR,Kyren Williams,receiving,34,182,6.86,2,26,40
LAR,Puka Nacua,receiving,79,990,12.26,3,51,106
LAR,Ronnie Rivers,receiving,5,34,4.25,0,14,6
LAR,Tutu Atwell,receiving,42,562,13.93,0,50,62
LAR,Tyler Higbee,receiving,8,66,8.23,2,17,12
LAR,Tyler Johnson,receiving,26,291,8.51,1,63,41
LAR,Xavier Smith,receiving,2,6,3.0,0,11,2
