team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
LV,Adam Butler,defensive,65,36,5.0,8,2,10,0
LV,Aidan O'Connell,defensive,1,0,0.0,0,0,0,0
LV,Alex Bachman,defensive,3,3,0.0,0,0,0,0
LV,Alexander Mattison,defensive,2,1,0.0,0,0,0,0
LV,Amari Burney,defensive,17,10,1.0,3,0,1,0
LV,Amari Gainer,defensive,5,2,0.0,0,0,0,0
LV,Ameer Abdullah,defensive,4,2,0.0,0,0,0,0
LV,Andre Carter II,defensive,1,0,0.5,0,0,1,0
LV,Brock Bowers,defensive,3,3,0.0,0,0,0,0
LV,Charles Snowden,defensive,39,18,1.5,3,4,7,0
LV,Chris Smith II,defensive,6,2,0.0,0,0,0,0
LV,Christian Wilkins,defensive,17,11,2.0,2,0,6,0
LV,DJ Turner,defensive,7,3,0.0,0,0,0,0
LV,Darnay Holmes,defensive,30,14,1.0,2,3,1,0
LV,Davante Adams,defensive,1,1,0.0,0,0,0,0
LV,Decamerion Richardson,defensive,46,27,0.0,1,3,0,0
LV,Divine Deablo,defensive,63,35,1.0,4,2,4,0
LV,Dylan Laube,defensive,3,1,0.0,0,0,0,0
LV,Dylan Parham,defensive,1,1,0.0,0,0,0,0
LV,Harrison Bryant,defensive,2,2,0.0,0,0,0,0
LV,Isaiah Pola-Mao,defensive,89,57,1.0,2,5,1,0
LV,Jack Jones,defensive,69,52,0.0,3,16,0,1
LV,Jackson Powers-Johnson,defensive,1,0,0.0,0,0,0,0
LV,Jacob Bobenmoyer,defensive,4,3,0.0,0,0,0,0
LV,Jakobi Meyers,defensive,3,2,0.0,0,0,0,0
LV,Jakorian Bennett,defensive,26,15,0.0,0,8,0,0
LV,Janarius Robinson,defensive,5,2,0.5,0,1,2,0
LV,John Jenkins,defensive,46,13,1.0,3,2,4,0
LV,John Samuel Shenker,defensive,2,2,0.0,0,0,0,0
LV,Jonah Laulu,defensive,35,15,1.0,3,3,2,0
LV,K'Lavon Chaisson,defensive,32,19,5.0,7,2,8,0
LV,Kana'i Mauga,defensive,3,2,0.0,0,0,0,0
LV,Kolton Miller,defensive,2,2,0.0,0,0,0,0
LV,Kyu Blu Kelly,defensive,2,1,0.0,0,0,0,0
LV,Luke Masterson,defensive,17,10,0.0,0,0,0,0
LV,Marcus Epps,defensive,19,16,0.0,2,0,0,0
LV,Matthew Butler,defensive,9,4,0.0,0,0,0,0
LV,Maxx Crosby,defensive,45,28,7.5,17,5,20,0
LV,Nate Hobbs,defensive,49,33,0.0,2,5,1,0
LV,Nesta Jade Silvera,defensive,8,2,0.0,0,0,0,0
LV,Ramel Keyton,defensive,1,1,0.0,0,0,0,0
LV,Robert Spillane,defensive,158,91,2.0,10,7,3,0
LV,Sam Webb,defensive,1,0,0.0,0,0,0,0
LV,Thomas Harper,defensive,26,13,0.5,0,2,1,0
LV,Tommy Eichenberg,defensive,13,8,0.0,0,0,0,0
LV,Tre Tucker,defensive,3,2,0.0,0,0,0,0
LV,Tre'von Moehrig,defensive,104,64,1.0,5,10,3,0
LV,Tyree Wilson,defensive,27,16,4.5,6,0,10,0
LV,Tyreik McAllister,defensive,1,1,0.0,0,0,0,0
LV,Zachary Carter,defensive,13,6,1.0,0,1,1,0
