team,player,category,CAR,YDS,AVG,TD,LONG
LV,Aidan O'Connell,rushing,21,30,1.14,1,13
LV,Alexander Mattison,rushing,132,420,3.43,4,24
LV,Ameer Abdullah,rushing,66,311,3.6,2,40
LV,Brock Bowers,rushing,5,13,2.6,0,12
LV,Chris Collier,rushing,5,12,2.5,0,4
LV,DJ Turner,rushing,5,33,6.6,1,18
LV,Desmond Ridder,rushing,9,36,3.02,0,11
LV,Dylan Laube,rushing,1,0,0.0,0,0
LV,Gardner Minshew II,rushing,19,58,2.64,0,11
LV,Jakobi Meyers,rushing,2,23,11.5,0,20
LV,Sincere McCormick,rushing,39,183,4.55,0,29
LV,Tre Tucker,rushing,9,44,5.0,1,11
LV,Tyreik McAllister,rushing,2,11,5.5,0,10
LV,Zamir White,rushing,65,183,2.46,1,17
