team,player,category,FUM,LOST,REC
MIA,Aaron Brewer,fumbles,1,0,1
MIA,Alec Ingold,fumbles,2,1,1
MIA,Austin Jackson,fumbles,0,0,1
MIA,Blake Ferguson,fumbles,1,0,0
MIA,Da'Shawn Hand,fumbles,0,0,1
MIA,De'Von Achane,fumbles,1,0,0
MIA,Jake Bailey,fumbles,1,1,0
MIA,Jason Sanders,fumbles,0,0,1
MIA,Jaylen Wright,fumbles,1,1,0
MIA,Jeff Wilson Jr.,fumbles,0,0,1
MIA,Jonnu Smith,fumbles,2,1,0
MIA,Jordyn Brooks,fumbles,0,0,2
MIA,Julian Hill,fumbles,1,0,0
MIA,Kader Kohou,fumbles,0,0,1
MIA,Kendall Fuller,fumbles,0,0,1
MIA,Malik Washington,fumbles,1,1,0
MIA,Raheem Mostert,fumbles,2,2,0
MIA,Robert Jones,fumbles,0,0,1
MIA,Skylar Thompson,fumbles,2,0,0
MIA,Terron Armstead,fumbles,0,0,2
MIA,Tua Tagovailoa,fumbles,7,2,2
MIA,Tyler Huntley,fumbles,6,2,3
MIA,Zach Sieler,fumbles,0,0,1
