team,player,category,CAR,YDS,AVG,TD,LONG
MIA,Alec Ingold,rushing,10,17,1.79,1,6
MIA,De'Von Achane,rushing,203,907,4.44,6,61
MIA,Jake Bailey,rushing,1,0,0.0,0,0
MIA,Jaylen Waddle,rushing,4,12,3.0,0,6
MIA,Jaylen Wright,rushing,68,249,3.79,0,20
MIA,Jeff Wilson Jr.,rushing,16,57,3.27,0,14
MIA,Jonnu Smith,rushing,2,-1,-0.5,0,0
MIA,Malik Washington,rushing,5,25,5.0,1,18
MIA,Raheem Mostert,rushing,85,278,2.65,2,21
MIA,Skylar Thompson,rushing,1,4,4.0,0,4
MIA,Tim Boyle,rushing,2,10,5.0,0,6
MIA,Tua Tagovailoa,rushing,17,49,3.23,0,13
MIA,Tyler Huntley,rushing,26,135,4.8,2,20
MIA,Tyreek Hill,rushing,8,53,6.96,0,16
