team,player,category,FUM,LOST
NE,Antonio Gibson,fumbles,2,0
NE,Austin Hooper,fumbles,2,1
NE,Ben Brown,fumbles,2,0
NE,Christian Elliss,fumbles,0,0
NE,Christian Gonzalez,fumbles,0,0
NE,DeMario Douglas,fumbles,1,0
NE,Drake Maye,fumbles,9,6
NE,Isaiah Bolden,fumbles,0,0
NE,Jacoby Brissett,fumbles,4,1
NE,Jaylinn Hawkins,fumbles,0,0
NE,Joe Milton III,fumbles,1,1
NE,Kendrick Bourne,fumbles,0,0
NE,Marcus Jones,fumbles,2,0
NE,Michael Jordan,fumbles,0,0
NE,Nick Leverett,fumbles,0,0
NE,Rhamondre Stevenson,fumbles,7,3
