team,player,category,CAR,YDS,AVG,TD,LONG
NE,Antonio Gibson,rushing,120,538,4.16,1,45
NE,DeMario Douglas,rushing,3,16,5.33,0,9
NE,Dell Pettus,rushing,1,2,2.0,0,2
NE,Drake Maye,rushing,54,421,7.72,2,41
NE,Ja'Lynn Polk,rushing,1,0,0.0,0,0
NE,JaMycal Hasty,rushing,20,69,3.81,0,15
NE,Jacoby Brissett,rushing,15,62,4.56,0,16
NE,Joe Milton III,rushing,10,16,1.6,1,9
NE,Kendrick Bourne,rushing,1,6,6.0,0,6
NE,Marcus Jones,rushing,1,5,5.0,0,5
NE,Rhamondre Stevenson,rushing,207,801,3.58,7,33
NE,Terrell Jennings,rushing,13,33,2.55,0,7
