team,player,category,REC,YDS,AVG,TD,LONG,TGTS
NO,Adam Prentice,receiving,0,0,0.0,0,0,4
NO,Alvin Kamara,receiving,68,543,9.27,2,57,89
NO,Bub Means,receiving,9,118,14.32,1,36,15
NO,Cedrick Wilson Jr.,receiving,20,211,10.65,1,25,27
NO,Chris Olave,receiving,32,400,10.92,1,39,44
NO,Clyde Edwards-Helaire,receiving,3,24,9.5,0,14,5
NO,Dallin Holker,receiving,3,21,7.75,0,10,4
NO,Dante Pettis,receiving,12,120,8.31,1,20,28
NO,Foster Moreau,receiving,32,413,11.45,5,41,43
NO,Jamaal Williams,receiving,9,57,6.86,0,13,11
NO,Jordan Mims,receiving,12,71,8.6,0,25,18
NO,Juwan Johnson,receiving,50,548,11.25,3,30,66
NO,Kendre Miller,receiving,5,33,4.9,0,16,8
NO,Kevin Austin Jr.,receiving,11,151,14.04,0,23,22
NO,Marquez Valdes-Scantling,receiving,17,385,19.82,4,71,35
NO,Mason Tipton,receiving,14,99,5.44,0,15,26
NO,Rashid Shaheed,receiving,20,349,15.2,3,70,41
NO,Taysom Hill,receiving,23,187,7.79,0,34,31
