team,player,category,FUM,LOST,REC
NYG,Adoree' Jackson,fumbles,0,0,1
NYG,Andrew Thomas,fumbles,0,0,1
NYG,Azeez Ojulari,fumbles,0,0,1
NYG,Bobby Okereke,fumbles,0,0,2
NYG,Chris Manhertz,fumbles,0,0,1
NYG,DJ Davidson,fumbles,0,0,2
NYG,Dane Belton,fumbles,0,0,1
NYG,Daniel Jones,fumbles,4,2,1
NYG,Darius Slayton,fumbles,1,0,0
NYG,Devin Singletary,fumbles,2,2,0
NYG,Drew Lock,fumbles,5,2,2
NYG,Elijah Chatman,fumbles,0,0,1
NYG,Elijah Garcia,fumbles,0,0,1
NYG,Eric Gray,fumbles,3,2,0
NYG,Greg Van Roten,fumbles,0,0,1
NYG,Ihmir Smith-Marsette,fumbles,1,0,0
NYG,Jermaine Eluemunor,fumbles,0,0,1
NYG,Malik Nabers,fumbles,1,0,0
NYG,Matthew Adams,fumbles,0,0,1
NYG,Micah McFadden,fumbles,0,0,1
NYG,Tyler Nubin,fumbles,0,0,1
NYG,Tyrone Tracy Jr.,fumbles,5,2,0
