team,player,category,FUM,LOST,REC
NYJ,Aaron Rodgers,fumbles,5,2,3
NYJ,Anders Carlson,fumbles,0,0,1
NYJ,Brandin Echols,fumbles,0,0,1
NYJ,Breece Hall,fumbles,6,2,1
NYJ,Chuck Clark,fumbles,0,0,1
NYJ,Garrett Wilson,fumbles,2,2,0
NYJ,Javon Kinlaw,fumbles,0,0,1
NYJ,Joe Tippmann,fumbles,1,0,0
NYJ,John Simpson,fumbles,0,0,1
NYJ,Malachi Corley,fumbles,1,1,0
NYJ,Michael Carter II,fumbles,0,0,1
NYJ,Quincy Williams,fumbles,0,0,3
NYJ,Solomon Thomas,fumbles,0,0,1
NYJ,Tyler Conklin,fumbles,0,0,1
NYJ,Tyrod Taylor,fumbles,1,0,1
NYJ,Will McDonald IV,fumbles,0,0,1
NYJ,Xavier Gipson,fumbles,4,1,0
