team,player,category,FUM,LOST
PIT,Beanie Bishop,fumbles,0,0
PIT,Ben Skowronek,fumbles,0,0
PIT,Calvin Austin III,fumbles,1,1
PIT,Connor Heyward,fumbles,0,0
PIT,Cordarrelle Patterson,fumbles,1,1
PIT,Corliss Waitman,fumbles,1,0
PIT,DeShon Elliott,fumbles,0,0
PIT,Donte Jackson,fumbles,0,0
PIT,George Pickens,fumbles,1,1
PIT,Jaylen Warren,fumbles,2,1
PIT,Justin Fields,fumbles,6,1
PIT,Keeanu Benton,fumbles,0,0
PIT,Nick Herbig,fumbles,0,0
PIT,Pat Freiermuth,fumbles,3,2
PIT,Patrick Queen,fumbles,0,0
PIT,Payton Wilson,fumbles,1,0
PIT,Preston Smith,fumbles,0,0
PIT,Russell Wilson,fumbles,5,4
PIT,T.J. Watt,fumbles,0,0
PIT,Zach Frazier,fumbles,1,0
