team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
SEA, Team,defensive,1,1,1.0,0,0,0,0
SEA,AJ Barner,defensive,3,3,0.0,0,0,0,0
SEA,AJ Finley,defensive,1,0,0.0,0,0,0,0
SEA,Artie Burns,defensive,4,3,0.0,0,3,0,0
SEA,Boye Mafe,defensive,40,25,6.0,8,3,12,0
SEA,Brady Russell,defensive,10,6,0.0,0,0,0,0
SEA,Byron Murphy II,defensive,36,12,0.5,2,0,1,0
SEA,Coby Bryant,defensive,73,48,0.0,1,6,2,1
SEA,Cody White,defensive,1,0,0.0,0,0,0,0
SEA,Connor Williams,defensive,1,0,0.0,0,0,0,0
SEA,Dareke Young,defensive,7,6,0.0,0,0,0,0
SEA,Dee Williams,defensive,3,2,0.0,0,0,0,0
SEA,Derick Hall,defensive,37,20,8.0,6,0,20,1
SEA,Devon Witherspoon,defensive,98,66,1.0,6,9,1,0
SEA,Drake Thomas,defensive,13,3,0.0,0,1,0,0
SEA,Dre'Mont Jones,defensive,28,14,4.0,7,1,13,0
SEA,Ernest Jones IV,defensive,94,48,0.5,1,2,2,0
SEA,Faion Hicks,defensive,2,1,0.0,0,0,0,0
SEA,George Holani,defensive,1,0,0.0,0,0,0,0
SEA,Jake Bobo,defensive,6,2,0.0,0,0,0,0
SEA,Jarran Reed,defensive,45,21,4.5,5,2,15,0
SEA,Jason Myers,defensive,1,1,0.0,0,0,0,0
SEA,Jaxon Smith-Njigba,defensive,4,4,0.0,0,0,0,0
SEA,Jerome Baker,defensive,37,21,1.0,2,2,1,0
SEA,Jerrick Reed II,defensive,3,2,0.0,0,0,0,0
SEA,Johnathan Hankins,defensive,30,15,1.0,5,1,2,0
SEA,Josh Jobe,defensive,37,29,0.0,0,7,0,0
SEA,Josh Ross,defensive,4,2,0.0,0,0,0,0
SEA,Julian Love,defensive,109,79,0.0,3,12,0,0
SEA,K'Von Wallace,defensive,15,9,0.0,0,0,0,0
SEA,Kenneth Walker III,defensive,3,3,0.0,0,0,0,0
SEA,Kenny McIntosh,defensive,3,2,0.0,0,0,0,0
SEA,Laviska Shenault Jr.,defensive,5,5,0.0,0,0,0,1
SEA,Leonard Williams,defensive,64,37,11.0,16,3,28,1
SEA,Marquise Blair,defensive,2,2,0.0,0,0,0,0
SEA,McClendon Curtis,defensive,1,1,0.0,0,0,0,0
SEA,Michael Dickson,defensive,1,1,0.0,0,0,0,0
SEA,Mike Morris,defensive,5,3,0.0,0,0,0,0
SEA,Myles Adams,defensive,3,1,0.0,0,0,0,0
SEA,Nehemiah Pritchett,defensive,12,8,0.0,0,1,0,0
SEA,Noah Fant,defensive,2,2,0.0,0,0,0,0
SEA,Patrick O'Connell,defensive,2,0,0.0,0,0,0,0
SEA,Pharaoh Brown,defensive,4,2,0.0,0,0,0,0
SEA,Rayshawn Jenkins,defensive,53,34,2.0,2,0,2,1
SEA,Riq Woolen,defensive,46,32,0.0,0,14,0,0
SEA,Roy Robertson-Harris,defensive,13,5,0.0,1,1,1,0
SEA,Sam Howell,defensive,1,1,0.0,0,0,0,0
SEA,Tre Brown,defensive,26,21,0.0,0,1,0,0
SEA,Ty Okada,defensive,3,1,0.0,0,0,0,0
SEA,Tyrel Dodson,defensive,71,41,2.0,5,2,3,0
SEA,Tyrice Knight,defensive,88,41,1.5,3,2,4,0
SEA,Tyus Bowser,defensive,1,1,0.0,0,0,0,0
SEA,Uchenna Nwosu,defensive,14,8,1.0,1,1,5,0
SEA,Zach Charbonnet,defensive,3,2,0.0,0,0,0,0
