team,player,category,FUM,LOST,REC
SEA,Anthony Bradford,fumbles,0,0,1
SEA,Connor Williams,fumbles,2,0,0
SEA,DK Metcalf,fumbles,2,2,0
SEA,Dee Williams,fumbles,3,3,0
SEA,Derick Hall,fumbles,0,0,1
SEA,Geno Smith,fumbles,9,0,6
SEA,Jaxon Smith-Njigba,fumbles,1,0,1
SEA,Jerome Baker,fumbles,0,0,1
SEA,Julian Love,fumbles,0,0,1
SEA,Kenneth Walker III,fumbles,1,0,3
SEA,Laken Tomlinson,fumbles,0,0,1
SEA,Laviska Shenault Jr.,fumbles,2,2,0
SEA,Olu Oluwatimi,fumbles,0,0,1
SEA,Pharaoh Brown,fumbles,1,1,0
SEA,Rayshawn Jenkins,fumbles,0,0,1
SEA,Tyrice Knight,fumbles,0,0,1
