team,player,category,REC,YDS,AVG,TD,LONG,TGTS
SEA,AJ Barner,receiving,30,245,8.91,4,20,38
SEA,Cody White,receiving,2,44,22.0,0,28,3
SEA,DK Metcalf,receiving,66,992,15.45,5,71,108
SEA,Dareke Young,receiving,0,0,0.0,0,0,1
SEA,George Holani,receiving,1,-1,-1.0,0,-1,1
SEA,Jake Bobo,receiving,13,107,6.41,1,15,17
SEA,Jaxon Smith-Njigba,receiving,100,1130,11.13,6,46,137
SEA,Kenneth Walker III,receiving,46,299,6.41,1,21,53
SEA,Kenny McIntosh,receiving,3,22,6.17,0,15,4
SEA,Laviska Shenault Jr.,receiving,5,36,7.2,0,18,5
SEA,Noah Fant,receiving,48,500,10.31,1,32,64
SEA,Pharaoh Brown,receiving,8,65,6.94,0,17,12
SEA,Tyler Lockett,receiving,49,600,11.48,2,37,74
SEA,Zach Charbonnet,receiving,42,340,6.91,1,32,52
