team,player,category,FUM,LOST,REC
SF,Aaron Banks,fumbles,0,0,1
SF,Ben Bartch,fumbles,0,0,1
SF,Brandon Allen,fumbles,2,1,1
SF,Brock Purdy,fumbles,7,3,0
SF,Chris Conley,fumbles,0,0,1
SF,Christian McCaffrey,fumbles,1,1,0
SF,Deebo Samuel,fumbles,2,1,0
SF,Eric Saubert,fumbles,1,0,0
SF,Evan Anderson,fumbles,0,0,1
SF,Isaac Guerendo,fumbles,3,1,0
SF,Isaac Yiadom,fumbles,0,0,2
SF,Jacob Cowing,fumbles,2,1,0
SF,Jake Brendel,fumbles,1,0,0
SF,Jauan Jennings,fumbles,1,0,1
SF,Jordan Mason,fumbles,3,1,3
SF,Joshua Dobbs,fumbles,2,1,0
SF,Kyle Juszczyk,fumbles,1,1,0
SF,Maliek Collins,fumbles,0,0,2
SF,Nick Bosa,fumbles,0,0,1
SF,Nick Zakelj,fumbles,0,0,1
SF,Patrick Taylor Jr.,fumbles,0,0,1
SF,Tatum Bethune,fumbles,0,0,2
