team,player,category,FUM,LOST,REC
TEN,Arden Key,fumbles,0,0,1
TEN,Calvin Ridley,fumbles,1,1,1
TEN,Chig Okonkwo,fumbles,2,1,0
TEN,Daniel Brunskill,fumbles,1,0,0
TEN,David Martin-Robinson,fumbles,0,0,1
TEN,DeAndre Hopkins,fumbles,1,0,0
TEN,JC Latham,fumbles,0,0,3
TEN,James Williams Sr.,fumbles,0,0,1
TEN,Jarvis Brownlee Jr.,fumbles,0,0,1
TEN,Jeffery Simmons,fumbles,0,0,2
TEN,Jha'Quan Jackson,fumbles,5,2,2
TEN,Julius Chestnut,fumbles,0,0,1
TEN,Lloyd Cushenberry III,fumbles,0,0,1
TEN,Mason Rudolph,fumbles,5,1,2
TEN,T'Vondre Sweat,fumbles,0,0,1
TEN,Tony Pollard,fumbles,2,2,1
TEN,Tyjae Spears,fumbles,1,0,0
TEN,Will Levis,fumbles,10,6,3
