team,player,category,FUM,LOST,REC
WSH,Austin Ekeler,fumbles,3,0,0
WSH,Benjamin St-Juste,fumbles,0,0,1
WSH,Bobby Wagner,fumbles,0,0,2
WSH,Brian Robinson Jr.,fumbles,2,2,0
WSH,Dyami Brown,fumbles,1,1,0
WSH,Frankie Luvu,fumbles,0,0,2
WSH,Jamison Crowder,fumbles,2,1,1
WSH,Jayden Daniels,fumbles,5,0,0
WSH,Jer'Zhan Newton,fumbles,0,0,1
WSH,Jeremy Chinn,fumbles,0,0,2
WSH,Jeremy McNichols,fumbles,0,0,2
WSH,John Bates,fumbles,1,1,0
WSH,Marcus Mariota,fumbles,0,0,1
WSH,Mike Sainristil,fumbles,0,0,1
WSH,Mykal Walker,fumbles,0,0,2
WSH,Nick Allegretti,fumbles,0,0,2
WSH,Olamide Zaccheaus,fumbles,3,1,2
WSH,Terry McLaurin,fumbles,1,1,1
WSH,Tyler Biadasz,fumbles,1,0,1
