team,player,category,FUM,LOST,REC
ATL,Bijan Robinson,fumbles,4,3,1
ATL,Darnell Mooney,fumbles,2,0,0
ATL,DeMarcco Hellams,fumbles,0,0,1
ATL,Dee Alford,fumbles,0,0,1
ATL,Divine Deablo,fumbles,0,0,1
ATL,Drake London,fumbles,1,1,0
ATL,Elijah Wilkinson,fumbles,0,0,1
ATL,Jalon Walker,fumbles,0,0,1
ATL,Jamal Agnew,fumbles,3,1,1
ATL,James Pearce Jr.,fumbles,0,0,1
ATL,Kirk Cousins,fumbles,3,1,1
ATL,Michael Penix Jr.,fumbles,4,2,2
ATL,Mike Ford Jr.,fumbles,0,0,1
ATL,Nathan Carter,fumbles,1,1,0
ATL,Natrone Brooks,fumbles,1,1,0
ATL,Ryan Neuzil,fumbles,0,0,2
ATL,Xavier Watts,fumbles,0,0,1
