team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
BAL,Aeneas Peebles,defensive,3,2,0.0,0,1,1,0
BAL,Alohi Gilman,defensive,68,39,0.0,1,6,1,1
BAL,Amani Oruwariye,defensive,1,0,0.0,0,0,0,0
BAL,Ar'Darius Washington,defensive,7,3,1.0,1,0,3,0
BAL,Brent Urban,defensive,19,7,0.5,3,0,4,0
BAL,Broderick Washington Jr.,defensive,4,1,0.0,0,1,0,0
BAL,CJ Okoye,defensive,15,7,0.0,1,1,1,0
BAL,Carl Jones,defensive,1,0,0.0,0,0,0,0
BAL,Carl Lawson,defensive,1,0,0.0,0,0,0,0
BAL,Chandler Martin,defensive,5,1,0.0,0,0,0,0
BAL,Charlie Kolar,defensive,8,1,0.0,0,0,0,0
BAL,Chidobe Awuzie,defensive,43,29,0.0,0,7,1,0
BAL,David Ojabo,defensive,16,7,0.5,0,0,2,0
BAL,Derrick Henry,defensive,1,1,0.0,0,0,0,0
BAL,Devontez Walker,defensive,3,1,1.0,0,0,1,0
BAL,Dre'Mont Jones,defensive,17,6,2.5,2,1,15,0
BAL,Emery Jones Jr.,defensive,1,1,0.0,0,0,0,0
BAL,Jaire Alexander,defensive,5,4,0.0,0,0,0,0
BAL,Jake Hummel,defensive,18,9,0.0,1,0,0,0
BAL,Jay Higgins IV,defensive,10,3,0.0,0,0,0,0
BAL,John Jenkins,defensive,39,16,1.0,3,1,1,0
BAL,Jordan Stout,defensive,1,1,0.0,0,0,0,0
BAL,Joseph Noteboom,defensive,1,1,0.0,0,0,0,0
BAL,Josh Tupou,defensive,5,1,0.0,0,0,0,0
BAL,Keondre Jackson,defensive,13,10,0.0,0,0,0,0
BAL,Keyon Martin,defensive,23,21,1.0,1,1,1,0
BAL,Kyle Hamilton,defensive,105,59,1.0,7,9,4,0
BAL,Kyle Van Noy,defensive,20,12,2.0,4,4,9,0
BAL,Lamar Jackson,defensive,2,2,0.0,0,0,0,0
BAL,Malaki Starks,defensive,84,49,0.0,1,4,1,0
BAL,Mark Andrews,defensive,2,2,0.0,0,0,0,0
BAL,Marlon Humphrey,defensive,68,53,1.0,3,13,3,0
BAL,Mike Green,defensive,41,17,3.5,7,0,14,0
BAL,Nate Wiggins,defensive,76,57,0.0,2,14,0,0
BAL,Nnamdi Madubuike,defensive,7,5,2.0,2,0,3,0
BAL,Odafe Oweh,defensive,10,5,0.0,1,0,5,0
BAL,Patrick Ricard,defensive,1,1,0.0,0,0,0,0
BAL,Rasheen Ali,defensive,10,8,0.0,0,0,0,0
BAL,Rashod Bateman,defensive,1,1,0.0,0,0,0,0
BAL,Reuben Lowery III,defensive,5,1,0.0,0,0,0,0
BAL,Ronnie Stanley,defensive,1,1,0.0,0,0,0,0
BAL,Roquan Smith,defensive,130,76,0.0,5,3,4,1
BAL,Sanoussi Kane,defensive,1,0,0.0,0,0,0,0
BAL,T.J. Tampa,defensive,29,21,0.0,0,2,0,0
BAL,Taven Bryan,defensive,1,0,0.5,0,0,2,0
BAL,Tavius Robinson,defensive,28,15,4.5,3,1,10,0
BAL,Teddye Buchanan,defensive,93,49,0.5,5,1,2,0
BAL,Travis Jones,defensive,47,20,5.0,9,2,9,0
BAL,Trenton Simpson,defensive,66,34,2.5,4,1,4,0
BAL,Tylan Wallace,defensive,8,5,0.0,0,0,0,0
BAL,Tyler Linderbaum,defensive,1,1,0.0,0,0,0,0
BAL,Tyler Loop,defensive,2,2,0.0,0,0,0,0
BAL,Zay Flowers,defensive,2,2,0.0,0,0,0,0
