team,player,category,FUM,LOST
BAL,Alohi Gilman,fumbles,0,0
BAL,Cooper Rush,fumbles,1,1
BAL,Derrick Henry,fumbles,4,3
BAL,Dre'Mont Jones,fumbles,0,0
BAL,Isaiah Likely,fumbles,2,1
BAL,John Jenkins,fumbles,0,0
BAL,Justice Hill,fumbles,1,0
BAL,Keaton Mitchell,fumbles,1,0
BAL,Keondre Jackson,fumbles,0,0
BAL,LaJohntay Wester,fumbles,2,1
BAL,Lamar Jackson,fumbles,7,3
BAL,Mark Andrews,fumbles,1,0
BAL,Marlon Humphrey,fumbles,0,0
BAL,Mike Green,fumbles,0,0
BAL,Roquan Smith,fumbles,0,0
BAL,Travis Jones,fumbles,0,0
BAL,Tylan Wallace,fumbles,0,0
BAL,Zay Flowers,fumbles,3,3
