team,player,category,FUM,LOST
CAR,A'Shawn Robinson,fumbles,1,0
CAR,Andy Dalton,fumbles,2,2
CAR,Austin Corbett,fumbles,1,0
CAR,Bryce Young,fumbles,7,4
CAR,Brycen Tremayne,fumbles,1,0
CAR,Christian Rozeboom,fumbles,0,0
CAR,Chuba Hubbard,fumbles,1,1
CAR,DJ Wonnum,fumbles,0,0
CAR,Damien Lewis,fumbles,0,0
CAR,Demani Richardson,fumbles,0,0
CAR,Jalen Coker,fumbles,1,1
CAR,Nick Scott,fumbles,0,0
CAR,Princely Umanmielen,fumbles,0,0
CAR,Rico Dowdle,fumbles,2,1
CAR,Tetairoa McMillan,fumbles,1,1
CAR,Trevor Etienne,fumbles,2,1
CAR,Xavier Legette,fumbles,1,0
