team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
CHI,Amen Ogbongbemiga,defensive,17,5,0.0,0,1,0,0
CHI,Andrew Billings,defensive,31,19,1.0,6,0,5,0
CHI,Austin Booker,defensive,35,19,4.5,5,3,12,0
CHI,Brittain Brown,defensive,1,0,0.0,0,0,0,0
CHI,C.J. Gardner-Johnson,defensive,51,35,3.0,5,4,5,0
CHI,Caleb Williams,defensive,1,1,0.0,0,0,0,0
CHI,Carl Jones,defensive,11,3,0.0,0,0,0,0
CHI,Chris Williams,defensive,14,6,1.0,1,0,2,0
CHI,Cole Kmet,defensive,1,0,0.0,0,0,0,0
CHI,Colston Loveland,defensive,1,1,0.0,0,0,0,0
CHI,D'Marco Jackson,defensive,43,18,1.0,2,3,1,0
CHI,DJ Moore,defensive,1,1,0.0,0,0,0,0
CHI,Dallis Flowers,defensive,1,1,0.0,0,0,0,0
CHI,Daniel Hardy,defensive,22,7,0.0,0,0,1,0
CHI,Dayo Odeyingbo,defensive,21,9,1.0,2,1,4,0
CHI,Devin Duvernay,defensive,1,1,0.0,0,0,0,0
CHI,Dominique Robinson,defensive,19,12,1.5,3,0,3,0
CHI,Durham Smythe,defensive,1,1,0.0,0,0,0,0
CHI,Elijah Hicks,defensive,19,9,0.0,0,0,0,0
CHI,Gervon Dexter Sr.,defensive,44,21,6.0,6,0,11,0
CHI,Grady Jarrett,defensive,39,14,1.5,1,3,8,0
CHI,Jahdae Walker,defensive,3,0,0.0,0,0,0,0
CHI,Jalen Reeves-Maybin,defensive,2,2,0.0,0,0,0,0
CHI,Jaquan Brisker,defensive,93,52,1.0,1,8,3,0
CHI,Jaylon Johnson,defensive,17,15,0.0,0,2,0,0
CHI,Jaylon Jones,defensive,16,9,0.0,0,0,0,0
CHI,Joe Tryon-Shoyinka,defensive,13,5,0.0,1,0,1,0
CHI,Jonah Jackson,defensive,1,1,0.0,0,0,0,0
CHI,Jonathan Ford,defensive,4,0,0.0,0,0,0,0
CHI,Jonathan Owens,defensive,19,9,0.0,0,0,0,0
CHI,Josh Blackwell,defensive,9,3,0.0,0,0,0,0
CHI,Kevin Byard,defensive,93,61,0.0,4,8,0,0
CHI,Kyler Gordon,defensive,7,5,1.0,1,0,1,0
CHI,Montez Sweat,defensive,53,36,10.0,13,5,18,0
CHI,Nahshon Wright,defensive,80,54,0.0,3,11,1,1
CHI,Nick McCloud,defensive,27,18,0.0,0,2,0,0
CHI,Nikola Kalinic,defensive,3,1,0.0,0,0,0,0
CHI,Noah Sewell,defensive,59,33,0.0,3,0,0,0
CHI,Roschon Johnson,defensive,7,6,0.0,0,0,0,0
CHI,Ruben Hyppolite II,defensive,6,3,0.0,0,0,0,0
CHI,Scott Daly,defensive,3,0,0.0,0,0,0,0
CHI,Shemar Turner,defensive,6,6,0.0,2,0,0,0
CHI,T.J. Edwards,defensive,67,33,0.5,2,5,3,1
CHI,Tanoh Kpassagnon,defensive,5,4,1.0,1,0,2,0
CHI,Tory Taylor,defensive,1,1,0.0,0,0,0,0
CHI,Travis Homer,defensive,10,5,0.0,0,0,0,0
CHI,Tremaine Edmunds,defensive,112,61,1.0,3,9,3,0
CHI,Tyrique Stevenson,defensive,49,36,0.0,1,10,0,0
