team,player,category,FUM,LOST,REC
CHI,Caleb Williams,fumbles,9,1,5
CHI,D'Andre Swift,fumbles,2,2,0
CHI,D'Marco Jackson,fumbles,0,0,1
CHI,DJ Moore,fumbles,1,1,0
CHI,Drew Dalman,fumbles,1,0,1
CHI,Gervon Dexter Sr.,fumbles,0,0,2
CHI,Josh Blackwell,fumbles,2,0,1
CHI,Kyle Monangai,fumbles,0,0,2
CHI,Kyler Gordon,fumbles,0,0,1
CHI,Montez Sweat,fumbles,0,0,1
CHI,Nahshon Wright,fumbles,0,0,3
CHI,Rome Odunze,fumbles,0,0,1
CHI,Tremaine Edmunds,fumbles,0,0,1
CHI,Tyrique Stevenson,fumbles,0,0,2
CHI,Tyson Bagent,fumbles,1,0,0
