team,player,category,FUM,LOST
CIN,Cam Grandy,fumbles,1,0
CIN,Cedric Johnson,fumbles,0,0
CIN,Charlie Jones,fumbles,0,0
CIN,Chase Brown,fumbles,2,0
CIN,DJ Turner II,fumbles,0,0
CIN,Dylan Fairchild,fumbles,0,0
CIN,Howard Cross III,fumbles,0,0
CIN,Ja'Marr Chase,fumbles,1,1
CIN,Jake Browning,fumbles,1,0
CIN,Joe Flacco,fumbles,1,1
CIN,Logan Wilson,fumbles,0,0
CIN,Myles Murphy,fumbles,0,0
CIN,Noah Fant,fumbles,3,3
CIN,Oren Burks,fumbles,0,0
CIN,Orlando Brown Jr.,fumbles,0,0
CIN,Samaje Perine,fumbles,3,2
CIN,Tee Higgins,fumbles,0,0
