team,player,category,FUM,LOST,REC
CLE,Blake Whiteheart,fumbles,1,0,1
CLE,Corey Bojorquez,fumbles,1,0,1
CLE,DeAndre Carter,fumbles,1,0,1
CLE,Devin Bush,fumbles,0,0,1
CLE,Dylan Sampson,fumbles,1,1,0
CLE,Gage Larvadain,fumbles,4,1,3
CLE,Grant Delpit,fumbles,0,0,2
CLE,Harold Fannin Jr.,fumbles,1,1,0
CLE,Jerry Jeudy,fumbles,1,1,0
CLE,Joe Flacco,fumbles,2,2,0
CLE,Maliek Collins,fumbles,0,0,1
CLE,Mohamoud Diabate,fumbles,0,0,1
CLE,Rayshawn Jenkins,fumbles,0,0,1
CLE,Sam Webb,fumbles,0,0,1
CLE,Shedeur Sanders,fumbles,2,1,0
CLE,Wyatt Teller,fumbles,0,0,1
