team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
DAL,Alijah Clark,defensive,18,9,0.0,0,0,0,0
DAL,Brandon Aubrey,defensive,1,1,0.0,0,0,0,0
DAL,Brevyn Spann-Ford,defensive,20,9,0.0,0,0,0,0
DAL,C.J. Goodwin,defensive,18,10,0.0,0,0,0,0
DAL,Caelen Carson,defensive,17,12,0.0,1,2,0,0
DAL,CeeDee Lamb,defensive,1,1,0.0,0,0,0,0
DAL,Corey Ballentine,defensive,2,0,0.0,0,0,0,0
DAL,DaRon Bland,defensive,73,45,0.0,3,6,0,1
DAL,Dak Prescott,defensive,2,2,0.0,0,0,0,0
DAL,Damone Clark,defensive,14,7,0.0,0,0,0,0
DAL,Dante Fowler Jr.,defensive,15,10,3.0,4,3,10,0
DAL,DeMarvion Overshown,defensive,28,15,0.0,1,0,0,0
DAL,Donovan Ezeiruaku,defensive,40,20,2.0,7,0,12,0
DAL,Donovan Wilson,defensive,71,39,0.0,3,5,0,0
DAL,George Pickens,defensive,2,2,0.0,0,0,0,0
DAL,Hunter Luepke,defensive,15,5,0.0,0,0,0,0
DAL,Jack Sanborn,defensive,34,16,0.0,1,1,0,0
DAL,Jadeveon Clowney,defensive,41,24,8.5,12,4,10,0
DAL,Jake Ferguson,defensive,2,2,0.0,0,0,0,0
DAL,Jalen Brooks,defensive,1,1,0.0,0,0,0,0
DAL,James Houston,defensive,35,18,5.5,6,0,13,0
DAL,Javonte Williams,defensive,1,1,0.0,0,0,0,0
DAL,Jay Toia,defensive,3,1,0.0,0,0,1,0
DAL,Jonathan Mingo,defensive,1,0,0.0,0,0,0,0
DAL,Josh Butler,defensive,5,3,0.0,0,0,0,0
DAL,Juanyeh Thomas,defensive,26,14,0.0,0,0,0,0
DAL,KaVontae Turpin,defensive,1,1,0.0,0,0,0,0
DAL,Kaiir Elam,defensive,29,19,0.0,0,1,0,0
DAL,Kenneth Murray Jr.,defensive,81,38,1.0,4,2,3,0
DAL,Kenny Clark,defensive,36,17,3.0,6,0,9,0
DAL,Logan Wilson,defensive,24,15,0.0,0,1,0,0
DAL,Luke Schoonmaker,defensive,3,2,0.0,0,0,0,0
DAL,Malik Davis,defensive,7,2,0.0,0,0,0,0
DAL,Malik Hooker,defensive,52,28,0.0,2,1,0,0
DAL,Marist Liufau,defensive,30,17,1.0,1,0,3,0
DAL,Markquese Bell,defensive,41,20,0.0,1,3,1,0
DAL,Marshawn Kneeland,defensive,12,6,1.0,3,0,1,0
DAL,Mazi Smith,defensive,3,0,0.0,0,0,0,0
DAL,Osa Odighizuwa,defensive,44,16,3.5,6,0,23,0
DAL,Parris Campbell,defensive,1,0,0.0,0,0,0,0
DAL,Perrion Winfrey,defensive,2,0,0.0,0,0,0,0
DAL,Princeton Fant,defensive,1,0,0.0,0,0,0,0
DAL,Quinnen Williams,defensive,21,9,1.5,3,1,9,0
DAL,Reddy Steward,defensive,63,40,1.5,5,3,2,0
DAL,Robert Rochell,defensive,1,0,0.0,0,0,0,0
DAL,Ryan Flournoy,defensive,6,4,0.0,0,0,0,0
DAL,Sam Williams,defensive,37,23,1.0,7,2,4,0
DAL,Shavon Revel Jr.,defensive,35,23,0.0,1,3,0,0
DAL,Shemar James,defensive,91,40,1.5,2,0,5,0
DAL,Solomon Thomas,defensive,27,10,0.0,3,1,2,0
DAL,Trent Sieg,defensive,1,1,0.0,0,0,0,0
DAL,Trevon Diggs,defensive,25,18,0.0,1,0,0,0
DAL,Trikweze Bridges,defensive,23,17,0.0,0,3,0,0
DAL,Zion Childress,defensive,2,0,0.0,0,0,0,0
