team,player,category,REC,YDS,AVG,TD,LONG,TGTS
DAL,Brevyn Spann-Ford,receiving,9,90,7.5,1,31,13
DAL,CeeDee Lamb,receiving,75,1077,13.94,3,74,117
DAL,George Pickens,receiving,93,1429,15.2,9,45,137
DAL,Hunter Luepke,receiving,13,109,7.45,1,15,15
DAL,Jake Ferguson,receiving,82,600,6.91,8,26,102
DAL,Jalen Tolbert,receiving,18,203,7.87,1,35,34
DAL,Javonte Williams,receiving,35,137,3.48,2,14,51
DAL,Jaydon Blue,receiving,1,5,5.0,0,5,1
DAL,Jonathan Mingo,receiving,1,25,5.0,0,25,5
DAL,KaVontae Turpin,receiving,26,396,17.05,2,86,38
DAL,Luke Schoonmaker,receiving,14,132,7.71,0,29,23
DAL,Malik Davis,receiving,2,16,4.0,0,10,5
DAL,Miles Sanders,receiving,8,30,2.88,0,9,8
DAL,Phil Mafah,receiving,2,11,5.5,0,10,2
DAL,Ryan Flournoy,receiving,40,475,9.09,4,46,56
